Product_category,Description,Price,Image
Electric Kettle,BRAUN KETTLE WK-3000WH,"5,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000260021_250x250_crop_center.png?v=1617868120
Electric Kettle,WEST POINT KETTLE 8269,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302058_250x250_crop_center.png?v=1615552019
Electric Kettle,CAMRY TRAVEL KETTLE CR1265,"6,800",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000297346_250x250_crop_center.png?v=1615551952
Electric Kettle,DSP ELECTRIC KETTLE IR KK1114,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000279888_250x250_crop_center.png?v=1615551884
Electric Kettle,SENCOR KETTLE SWK 34RD,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000231665_250x250_crop_center.png?v=1615551736
Electric Kettle,MIDEA ELECTRIC KETTLE IR H415E2J,"5,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000129270_250x250_crop_center.png?v=1615551638
Electric Kettle,MOULINEX KETTLE BY550D10,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302647_250x250_crop_center.png?v=1615030577
Electric Kettle,PHILIPS KETTLE HD9350 BASIC,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000177854_cf63cb93-b81c-4abf-aeed-6b6af459f9df_250x250_crop_center.png?v=1615030511
Electric Kettle,PHILIPS KETTLE HD9306 PC,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000103823_bfcfe3ef-8cbf-4644-ae85-6c3d56422435_250x250_crop_center.png?v=1615030499
Electric Kettle,ZOBON KETTLE IR K55,"5,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-24-at-12.42.53-PM_250x250_crop_center.jpg?v=1614164355
Electric Kettle,MY LONG HEAT KETTLE MY-2201 IR 579-523,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/14-8_250x250_crop_center.jpg?v=1614164053
Electric Kettle,LONGJI ELECTRIC KETTLE LJ-8817,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-03-8_250x250_crop_center.jpg?v=1614163340
Electric Kettle,DELONGHI KETTLE 3001B PC,"26,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-30-at-2.57.36-PM_250x250_crop_center.jpg?v=1614163335
Electric Kettle,PRESTIGE MULTI PURPOSE KETTLE 54935,"6,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200318-WA0115_250x250_crop_center.jpg?v=1614162706
Electric Kettle,WEST POINT MULTI FUNCTION KETTLE 6175,"4,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-27-at-2.52.56-PM_250x250_crop_center.jpg?v=1614162704
Electric Kettle,MY LONG HEAT KETTLE MY-2201 IR 579-523,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200318-WA0117_250x250_crop_center.jpg?v=1614162702
Coffee maker,DELONGHI COFFEE MAKER EC9335.M,"195,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-09-04-at-7.03.09-PM_250x250_crop_center.jpg?v=1614157934
Electric Kettle,CROWNLINE KETTLE KT188,"14,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-24-at-12.53.43-PM_250x250_crop_center.jpg?v=1614157897
Electric Kettle,SUPOR ELECTRIC KETTLE 17S21A BASIC,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-05-at-5.21.01-PM_250x250_crop_center.jpg?v=1614155780
Electric Kettle,KENWOOD KETTLE ZJP01,"5,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-05-at-5.21.25-PM_250x250_crop_center.jpg?v=1614155779
Electric Kettle,SINBO CORDLESS KETTLE SK7345,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-05-at-5.23.27-PM_250x250_crop_center.jpg?v=1614155778
Electric Kettle,PHILIPS KETTLE HD4646,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-05-at-5.24.14-PM_250x250_crop_center.jpg?v=1614155776
Coffee maker,ARSHIA COFFEE GRINDER MC1332182 BASIC,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-26-at-5.52.01-PM_250x250_crop_center.jpg?v=1614155270
Coffee maker,MOULINEX COFFEE GRINDER MC300132,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-11-26-at-5.52.59-PM_250x250_crop_center.jpg?v=1614155268
Electric Kettle,SHARP KETTLE EKJM41S3,"6,300",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-03-at-4.55.49-PM_250x250_crop_center.jpg?v=1614155138
Electric Kettle,PHILIPS KETTLE HD9357,"15,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-03-at-5.04.13-PM_250x250_crop_center.jpg?v=1614155129
Coffee maker,DELONGHI COFFEE MAKER ECAM44.660.B,"215,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-24-at-3.27.09-PM_250x250_crop_center.jpg?v=1614153957
Coffee maker,LELIT MARA COFFEE MACHINE PL62,"390,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-24-at-3.30.08-PM_250x250_crop_center.jpg?v=1614153952
Electric Kettle,WHISTLING KETTLE LIFE SMILE TK3-6N,"3,395",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-12.48.47-PM_250x250_crop_center.jpg?v=1614153813
Electric Kettle,WHISTLING KETTLE LIFE SMILE TK3-6NS,"2,995",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-12.49.00-PM_250x250_crop_center.jpg?v=1614153811
Electric Kettle,WHISTLING KETTLE LIFE SMILE TK3-6N,"3,395",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-12.49.47-PM_250x250_crop_center.jpg?v=1614153809
Electric Kettle,KETTLE STEEL 4 LTR IR 0057,"2,195",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-12.53.39-PM_250x250_crop_center.jpg?v=1614153805
Electric Kettle,BLACK & DECKER KETTLE JC250 PC,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-5.25.39-PM_250x250_crop_center.jpg?v=1614153778
Electric Kettle,SANFORD ELECTRIC KETTLE 1.7 LTR SF1851EK,"3,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-08-at-1.15.40-PM_250x250_crop_center.jpg?v=1614153380
Electric Kettle,MIDEA KETTLE MKHT1705B,"8,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-08-at-1.18.32-PM_250x250_crop_center.jpg?v=1614153379
Electric Kettle,BERGAMO KETTLE 2441GG,"4,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309026_250x250_crop_center.png?v=1614153010
Electric Kettle,AKAI KETTLE 818SSN,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309034_250x250_crop_center.png?v=1614152973
