Product_category,Description,Price,Image
Vacuum cleaner,Haier 1200W Vacuum Cleaner HVC-298,"11,500.00",//homeappliances.pk/wp-content/uploads/2021/04/Haier-1200W-Vacuum-Cleaner-HVC-298-200x200.jpg
Vacuum cleaner,Anex Drum Vacuum Cleaner AG-2198,"19,599.00",//homeappliances.pk/wp-content/uploads/2020/11/Anex-Drum-Vaccum-Cleaner-AG-2198-200x200.jpg
Vacuum cleaner,Gaba National Wet & Dry Drum Vacuum Cleaner GNV-6018,"15,495.00",//homeappliances.pk/wp-content/uploads/2020/10/Gaba-National-Wet-Dry-Drum-Vacuum-Cleaner-GNV-6018-200x200.jpg
Vacuum cleaner,Westpoint Vacuum Cleaner Golden WF-241,"13,150.00",//homeappliances.pk/wp-content/uploads/2020/10/Westpoint-Vacuum-Cleaner-Golden-WF-241-200x200.jpg
Vacuum cleaner,Westpoint Vacuum Cleaner WF-3569,"14,990.00",//homeappliances.pk/wp-content/uploads/2020/10/Westpoint-Vacuum-Cleaner-WF-3569-200x200.jpg
Vacuum cleaner,Westpoint Handy Vacuum Cleaner WF-231,"8,199.00",//homeappliances.pk/wp-content/uploads/2020/10/Westpoint-Handy-Vacuum-Cleaner-WF-231-200x200.jpg
Vacuum cleaner,Westpoint Drum Type Vacuum Cleaner WF-102,"13,800.00",//homeappliances.pk/wp-content/uploads/2020/10/Westpoint-Drum-Type-Vacuum-Cleaner-WF-102-200x200.jpg
Vacuum cleaner,Geepas Stainless Steel Vacuum Cleaner GVC2503,"19,000.00",//homeappliances.pk/wp-content/uploads/2020/10/Geepas-Stainless-Steel-Vacuum-Cleaner-GVC2503-200x200.jpg
Vacuum cleaner,Westpoint WF-3603 – Deluxe Vacuum Cleaner,"6,540.00",//homeappliances.pk/wp-content/uploads/2018/08/westpoint-wf-3603-deluxe-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Ayaan chase mart McCl563 Vacuum Cleaner Red,"17,000.00",//homeappliances.pk/wp-content/uploads/2018/06/ayaan-chase-mart-mccl563-vacuum-cleaner-red-image1-200x200.jpeg
Vacuum cleaner,As seen on tv Av1205 Dust Buster Vaccum,"6,799.00",//homeappliances.pk/wp-content/uploads/2018/06/as-seen-on-tv-av1205-dust-buster-vaccum-image1-200x200.jpeg
Vacuum cleaner,As seen on tv 5 in 1 Steam Mop & Vacuum Cleaner Green,"7,500.00",//homeappliances.pk/wp-content/uploads/2018/06/as-seen-on-tv-5-in-1-steam-mop-vacuum-cleaner-green-image1-200x200.jpeg
Vacuum cleaner,As seen on tv 5 in 1 Steam Mop & Vacuum Cleaner,"6,000.00",//homeappliances.pk/wp-content/uploads/2018/06/as-seen-on-tv-5-in-1-steam-mop-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Arshiya Unshara 5 in 1 Steam Mop & Vacuum Cleaner Green,"5,200.00",//homeappliances.pk/wp-content/uploads/2018/06/arshiya-unshara-5-in-1-steam-mop-vacuum-cleaner-green-image1-200x200.jpeg
Vacuum cleaner,Anex Vacuum Cleaner 2000Watt Ag2095 RED & Black,"55,000.00",//homeappliances.pk/wp-content/uploads/2018/06/anex-vacuum-cleaner-2000watt-ag2095-red-black-image1-200x200.jpeg
Vacuum cleaner,Anex Vacuum Cleaner 1800 Watts 3 in 1 AG2099 Silver,"9,950.00",//homeappliances.pk/wp-content/uploads/2018/06/anex-vacuum-cleaner-1800-watts-3-in-1-ag2099-silver-image1-200x200.jpeg
Vacuum cleaner,Anex plus AN1609 Vacuum Cleaner Silver,"8,499.00",//homeappliances.pk/wp-content/uploads/2018/06/anex-plus-an1609-vacuum-cleaner-silver-image1-200x200.jpeg
Vacuum cleaner,Anex plus AN1608 Vacuum Cleaner Silver & Red,"6,799.00",//homeappliances.pk/wp-content/uploads/2018/06/anex-plus-an1608-vacuum-cleaner-silver-red-image1-200x200.jpeg
Vacuum cleaner,Anex Bagged Vacuum Cleaner 1500 Watts Red & Black,"8,499.00",//homeappliances.pk/wp-content/uploads/2018/06/anex-bagged-vacuum-cleaner-1500-watts-red-black-image1-200x200.jpeg
Vacuum cleaner,Anex Anex Vacuum Cleaner 2000Watt Ag2095 RED & Black,"19,900.00",//homeappliances.pk/wp-content/uploads/2018/06/anex-anex-vacuum-cleaner-2000watt-ag2095-red-black-image1-200x200.jpeg
Vacuum cleaner,Black + Decker PAV 1425N Handy Vacuum Cleaner,"12,400.00",//homeappliances.pk/wp-content/uploads/2018/06/black-decker-pav-1425n-handy-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Black + Decker Black + Decker WV1400 Vacuum Cleaner With Permanent Filter & Cloth bag Red & White,"18,916.00",//homeappliances.pk/wp-content/uploads/2018/06/black-decker-black-decker-wv1400-vacuum-cleaner-with-permanent-filter-cloth-bag-red-white-image1-200x200.jpeg
Vacuum cleaner,Black + Decker Black + Decker VM2040 Bagless Vacuum Cleaner Blue,"16,306.00",//homeappliances.pk/wp-content/uploads/2018/06/black-decker-black-decker-vm2040-bagless-vacuum-cleaner-blue-image1-200x200.jpeg
Vacuum cleaner,Black + Decker Black + Decker VM1200 Vacuum Cleaner Red & Black,"10,000.00",//homeappliances.pk/wp-content/uploads/2018/06/black-decker-black-decker-vm1200-vacuum-cleaner-red-black-image1-200x200.jpeg
Vacuum cleaner,Best Quality Mini Vacuum Cleaner 10Liter Capacity (Handy Vacuum Cleaner),"8,200.00",//homeappliances.pk/wp-content/uploads/2018/06/best-quality-mini-vacuum-cleaner-10liter-capacity-handy-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,BEST 100% Copper Winding Portable Electric Air Blower Vacuum Cleaner Double Function Car Dust Air Blower & Car Dust Air Vacuum Cleaner,"2,500.00",//homeappliances.pk/wp-content/uploads/2018/06/best-100-copper-winding-portable-electric-air-blower-vacuum-cleaner-double-function-car-dust-air-blower-car-dust-air-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Beauty Station Wet & Dry Auto Vacuum,"2,000.00",//homeappliances.pk/wp-content/uploads/2018/06/beauty-station-wet-dry-auto-vacuum-image1-200x200.jpeg
Vacuum cleaner,Basit Deals BASITDEALS Vacuum Cleaner Red,839,//homeappliances.pk/wp-content/uploads/2018/06/basit-deals-basitdeals-vacuum-cleaner-red-image1-200x200.jpeg
Vacuum cleaner,B WHOLESELLER Prescott Electric High Vacuum Cleaner,"17,500.00",//homeappliances.pk/wp-content/uploads/2018/06/b-wholeseller-prescott-electric-high-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Cambridge Appliance CA VC101 Drum Vacuum Cleaner Black,"11,685.00",//homeappliances.pk/wp-content/uploads/2018/06/cambridge-appliance-ca-vc101-drum-vacuum-cleaner-black-image1-200x200.jpeg
Vacuum cleaner,Bosch BGS2UCO1GB vacuum cleaner,"45,000.00",//homeappliances.pk/wp-content/uploads/2018/06/bosch-bgs2uco1gb-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Bosch BBHM1CMGB vacuum cleaner,"36,500.00",//homeappliances.pk/wp-content/uploads/2018/06/bosch-bbhm1cmgb-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Zardi Hand held Vacuum Cleaner,999,//homeappliances.pk/wp-content/uploads/2018/06/zardi-hand-held-vacuum-cleaner-image1-200x200.jpeg
Vacuum cleaner,Westpoint WF960BK Drum Type Vacuum Cleaner 2000 Watts Black,"9,026.00",//homeappliances.pk/wp-content/uploads/2018/06/westpoint-wf960bk-drum-type-vacuum-cleaner-2000-watts-black-image1-200x200.jpeg
