Product_category,Description,Price,Image
Air conditioner,1 Ton BREEZE 12G + DC Inv..,"5,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/1.07.243.0001-247x260.jpg
Air conditioner,Haier 1.5 Ton Air Conditi..,"2,200.00",https://salmanelectronics.com/wp-content/uploads/2021/01/haier-15-ton-air-conditioner-hsu-18lt-t-series-image1-450x450-1-247x260.jpeg
Air conditioner,Haier HSU-12LRX 1 Ton Inv..,"1,700.00",https://salmanelectronics.com/wp-content/uploads/2021/01/ezgif.com-resize_5__1-247x260.jpg
Air conditioner,Haier HSU-18LRX 1.5 Ton I..,"8,200.00",https://salmanelectronics.com/wp-content/uploads/2021/01/product_115997_1-247x260.jpg
Air conditioner,Kenwood KET-1228S e-Tech ..,"2,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/eTech-Unit-scaled-1-247x260.jpg
Air conditioner,Orient Alpha 12G Cool Onl..,"8,000.00",https://salmanelectronics.com/wp-content/uploads/2020/12/1-Ton-Alpha-Grey-White-Onlinebuypk-1-247x260.jpg
Air conditioner,Orient Delta 18G 1.5 Ton ..,"8,000.00",https://salmanelectronics.com/wp-content/uploads/2020/12/orient-delta-split-air-conditioner-1.5-ton-_delta-18g__1_1_1-247x260.jpg
Air conditioner,PEL InverterOn FIT Chrome..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2020/12/fit-1-247x260.jpg
Air conditioner,PEL InverterOn FIT Chrome..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2020/09/Pel-Fit-Chrome-12K.jpg1_-247x260.jpg
Air conditioner,PEL Majestic 4D Air Condi..,"1,900.00",https://salmanelectronics.com/wp-content/uploads/2020/12/majestic-4d-1.0-247x260.jpg
Microwave oven,Dawlance Cooking Series M..,"0,000.00",https://salmanelectronics.com/wp-content/uploads/2020/03/dawlance-cooking-series-microwave-oven-30-ltr-_dw-131-hp_-247x260.jpg
Microwave oven,Dawlance Microwave Oven 2..,",500.00",https://salmanelectronics.com/wp-content/uploads/2021/01/dawlance_cooking_series_microwave_oven_20_ltr_dw-md10__6_1-247x260.jpg
Microwave oven,Dawlance Microwave Oven 2..,",200.00",https://salmanelectronics.com/wp-content/uploads/2021/01/dawlance-microwave-oven-20ltr-_md-15__1-247x260.jpg
Microwave oven,Dawlance Microwave Oven 2..,"2,200.00",https://salmanelectronics.com/wp-content/uploads/2021/01/dawlance_microwave_oven_23_ltr_black_dw-374__1-247x260.jpg
Microwave oven,Dawlance Microwave Oven 3..,"9,200.00",https://salmanelectronics.com/wp-content/uploads/2021/01/dawlance-cooking-series-microwave-oven-36-ltr-_dw-136-g_-247x260.jpg
Microwave oven,Dawlance Microwave Oven 4..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2021/01/dawlance_cooking_series_microwave_oven_42_ltr_dw-142-hzp__1_1_1_1-247x260.jpg
Microwave oven,Dawlance Microwave Oven D..,"6,500.00",https://salmanelectronics.com/wp-content/uploads/2021/01/dawlance-cooking-series-microwave-oven-30-ltr-_dw-133-g_-247x260.jpg
Microwave oven,PEL Microwave Oven PMO 20..,",500.00",https://salmanelectronics.com/wp-content/uploads/2020/04/classic-wgm-247x260.jpg
Freezer,Haier HDF-245SD Deep Free..,"4,500.00",https://salmanelectronics.com/wp-content/uploads/2021/01/111111111111111111-247x260.png
Freezer,Haier HDF-325H Deep Freez..,"2,500.00",https://salmanelectronics.com/wp-content/uploads/2021/01/deep-247x260.png
Freezer,HDF 345SD,"5,500.00",https://salmanelectronics.com/wp-content/uploads/2019/12/345-SD-1000x1000-247x260.jpg
Freezer,HDF 545,"6,500.00",https://salmanelectronics.com/wp-content/uploads/2019/12/545ddb-1000x1000-247x260.jpg
Freezer,"Pel	“Deep Freezers ..","8,900.00",https://salmanelectronics.com/wp-content/uploads/2019/06/PDF-100-Arctic-Premium-Single-Door-247x260.jpg
