Product_category,Description,Price,Image
Water geyser,Canon GWH-16D Plus Instant Gas Water Geyser with LPG,"12,899",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon Electric Geyser FW-15 LCF,"15,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon 8 Liter Instant Gas Geyser 16D-Plus DUAL,"12,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon 6 Liter Instant Geyser INS-600p DUAL,"11,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon 10Ltr Instant Gas Geyser 20D-Plus Dual,"17,199",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon EWH-50LCM 50 Liters Storage Electric Geyser,"20,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon 35 Gallons Twin Supreme Storage Geyser,"38,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon 35 Gallons Gas Water Heater 35G Classic Gold,"24,499",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Super Asia 208 8LTR LPG Instant Geyser,"15,499",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Super Asia 208 8LTR NG Instant Geyser,"15,199",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Super Asia 108 8LTR LPG Instant Geyser,"18,499",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Super Asia 406 6LTR NG Instant Geyser,"13,599",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Super Asia 206 6LTR LPG Instant Geyser,"12,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Super Asia 206 6LTR NG Instant Geyser,"12,999",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
Water geyser,Canon GWH1202 Dual Instant Gas Geyser,"19,699",https://www.shophive.com/static/version1611258438/frontend/bs_complex/bs_complex1/en_US/images/loading.gif
