Product_category,Description,Price,Image
Air conditioner,Gree GS-18LM5L 1.5 Ton Split Air Conditioner With Official Warranty,"91,999",https://www.telemart.pk/uploads/product_image/product_29742_1_thumb.jpg
Air conditioner,Kenwood KES-1830S eSleek 1.5 Ton 60% Inverter AC,"87,499",https://www.telemart.pk/uploads/product_image/product_123274_1_thumb.jpg
Air conditioner,Kenwood KEI-2441F Imperial Plus Cool AC (Floor Standing) With Official Warranty,"123,200",https://www.telemart.pk/uploads/product_image/product_123288_1_thumb.jpg
Air conditioner,Kenwood KEF-2440F e-Freedom Series Cool Only (2 Ton)- White With Official Warranty,"123,200",https://www.telemart.pk/uploads/product_image/product_123295_1_thumb.jpg
Air conditioner,Kenwood KEI-2442FH e-Imperial Plus T3 Series Heat & Cool (2 Ton) -White With Official Warranty,"130,699",https://www.telemart.pk/uploads/product_image/product_123304_1_thumb.jpg
Air conditioner,Whirlpool SPIW412DX DX Series 1 Ton DC Inverter Split AC With Official Warranty,"82,000",https://www.telemart.pk/uploads/product_image/product_126177_1_thumb.jpg
Air conditioner,Whirlpool SPIW418DX DX Series 1.5 Ton DC Inverter Split AC With Official Warranty,"93,999",https://www.telemart.pk/uploads/product_image/product_126189_1_thumb.jpg
Air conditioner,Kenwood KES-1230S eSleek 1 Ton 60% Inverter AC With Official Warranty,"71,499",https://www.telemart.pk/uploads/product_image/product_127791_1_thumb.jpg
Air conditioner,Kenwood KEI-4841FH Imperial 4 Ton Floor Standing AC With Official Warranty,"215,799",https://www.telemart.pk/uploads/product_image/product_129350_1_thumb.jpg
Air conditioner,Kenwood KEF-4842FH E Freedom Series Floor Standing Inverter AC With Official Warranty,"215,799",https://www.telemart.pk/uploads/product_image/product_129354_1_thumb.jpg
Air conditioner,Orient 18Venus 1.5 Ton Bright White DC Inverter AC Heat & Cool Gold Fin With Official Warranty,"85,499",https://www.telemart.pk/uploads/product_image/product_133938_1_thumb.jpg
Air conditioner,Orient 12Venus 1 Ton Bright White DC Inverter AC Heat & Cool Gold Fin With Official Warranty,"65,999",https://www.telemart.pk/uploads/product_image/product_133963_1_thumb.jpg
Air conditioner,Gree GS-12LM 1 Ton Air Conditioner With Official Warranty,"72,999",https://www.telemart.pk/uploads/product_image/product_134385_1_thumb.jpg
Air conditioner,Gree GS-12PITH Wifi 1 Ton Inverter Split AC With Official Warranty,"80,999",https://www.telemart.pk/uploads/product_image/product_134389_1_thumb.jpg
Air conditioner,Haier HSU-18LFCB Cool Only Inverter Air Conditioner With Official Warranty,"84,699",https://www.telemart.pk/uploads/product_image/product_135613_1_thumb.jpg
Air conditioner,Haier HSU-18HFMC 1.5 Ton Air Conditioner Turbo Cooling & Heating With Official Warranty,"92,399",https://www.telemart.pk/uploads/product_image/product_136241_1_thumb.jpg
Air conditioner,Haier HSU-18HFME 1.5 Ton Air Conditioner Turbo Cooling & Heating With Official Warranty,"92,400",https://www.telemart.pk/uploads/product_image/product_136246_1_thumb.jpg
Air conditioner,Haier HSU-12HFMD 1 Ton Air Conditioner Inverter With Official Warranty,"74,399",https://www.telemart.pk/uploads/product_image/product_136252_1_thumb.jpg
Air conditioner,Haier HSU-12LFCB Cool Only Inverter Air Conditioner With Official Warranty,"68,699",https://www.telemart.pk/uploads/product_image/product_136254_1_thumb.jpg
Air conditioner,Haier HSU-18HFCE Air Conditioners 1.5 Ton Turbo Cooling & Heating With Official Warranty,"88,599",https://www.telemart.pk/uploads/product_image/product_136260_1_thumb.jpg
