Product_category,Description,Price,Image
Coffee maker,Handheld Coffee Beater Mixer Whisker,350,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/5/a/5abbb7fc1656c9b0419e2f906296f185_4.jpg
Coffee maker,Black Diamond Shape Coffee Maker Jp-973,"4,095",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/d/6/d6a1885e833a467d5739ec7fd59b00a3_19.jpg
Coffee maker,Braun Kf560 Coffee Maker,"14,560",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/a/a/aa84b7a168bd550f93ffce7821e59355.jpg
Coffee maker,Sinbo Espresso Scm-2937,"10,800",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/7/b/7b7d8ea61c5ecad8b6745849ed8b8fe3.jpg
Coffee maker,Jp-973 Coffee Maker Black,"4,095",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac9cc15ce47a4e53b57ea0c93b5e7e69_24.jpg
Coffee maker,Espresso Coffee Maker Fd7189 With Warranty,"18,539",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/f/1/f12546811b8afe912b5d2da8134256f0_2.jpg
Toaster,Sencor Electric Toaster Sts 2606Wh,"14,000",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/3/7/370173af5ec47324ec606581cf58e67b_2.jpg
Toaster,Braun Purease Ht3010 Toaster,"9,890",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/4/5/45bdcc9a939111199d8dc29a77471ede.jpg
Toaster,Diamond Shape Pop Up Toaster Jp-976 Red,"3,980",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/b/c/bc07bfebdc7526bae00b280b17bcc331_16_1.jpg
Toaster,Air Fryer 9240 With Warranty,"39,894",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/0/9/094d2210e8840afa5e6a5b4de0bbf928_2.jpg
Toaster,Diamond Shape Pop Up Toaster Jp-976 White,"3,980",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/d/5/d5edcee6c330d1c7e176f94bfd96014e_17_1.jpg
Toaster,Air Fryer 9200 With Warranty,"21,596",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/1/9/196b914c4eeb2d48d5f26e7f2e2af10d_2.jpg
Toaster,Wf-2538 Toaster,"4,157",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/f/f/ff72295d9a0dcd14e3790c1c9d697b16_4.jpg
Toaster,Air Fryer Pz30J With Warranty,"43,158",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/3/6/3624bb9bf69d8d4ca6153a938011d299_2.jpg
Toaster,Wf-2561 2 Slice Pop-Up Toaster,"3,865",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/2/c/2c05b78131a4d0b7e85ba3065b9a61f8_4_2.jpg
Toaster,Wf-2550 Toaster,"4,671",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/a/8/a8b5ba372fa3b2b3af76c6aee4157c66_5.jpg
Toaster,Wf-2583 2 Slice Toaster,"4,671",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/b/4/b4e608518654460a445aaea86471da75_5.jpg
Toaster,Braun Ht600 Toaster Long Slot,"13,190",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/b/7/b783084bcb71b6848d702ab4a3f1a2cf.jpg
Toaster,Braun 4 Slice Toaster Ht-550,"12,490",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/9/a/9a2f9de70b6cf00286a7369ae4ce693b_1.jpg
Toaster,Ot-10 Deluxe Oven Toaster Black,"5,618",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/3/3/336ccafc038b8f915efd7f005ab69b23_4.jpg
Toaster,Air Fryer 9216 With Warranty,"21,277",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/5/a/5a01789782b201115038575a96013e77_2.jpg
Toaster,Diamond Shape Pop Up Toaster Jp-976 Black,"3,980",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/5/9/595b3fe90e466bb86cc9ab2878c0f92b_17.jpg
Toaster,Air Fryer 9220 With Warranty,"23,404",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/1/e/1ea93025d98384d7483d17d400ada3d1_2.jpg
Toaster,Wf-2532 Toaster,"5,681",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/b/7/b79a897a1090e52a3c88d59bb6ec674d_4.jpg
Toaster,Air Fryer 9218 With Warranty,"21,809",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/3/f/3f1e45e4befd87152fc09559aaca5ca3_2.jpg
Toaster,Wf-2540 Toaster,"4,157",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/a/0/a033601fb9b3672bb90fdda1393fe96c_4.jpg
Toaster,K-TEC SLICE TOASTER,"2,858",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/c/f/cf61ca7e25b3e37f1152e77f7eb0ead5_6.jpg
Toaster,Wf-2589 Deluxe 2 Slice Pop-Up Toaster,"3,865",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/0/e/0e145ffd9f5599b63123a7c3bda2a877_5.jpg
Toaster,Wf-2553 Toaster ,"4,157",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/e/2/e2e2582622d758374dafe2760afa3538_4.jpg
Toaster,Wf-2528 4 Slice Toaster,"5,393",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/0/8/08ead34827a3df61a287cf50ed764165_4.jpg
Toaster,Braun 2 Slice Toaster Ht-450,"10,850",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/0/f/0f5c4b6f027199f60fffda830eeb2ea6_1.jpg
Microwave oven,Microwave Oven With Grill Wf-851,"19,239",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/1/1/115285e732a0c77ca4079a0db3edf3dd_5.jpg
Microwave oven,Rotisserie Oven Toaster 24 Ltr Wf-2310,"9,043",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/6/f/6ff0c47ca7eb398dad5c785dd4004cea_4.jpg
Microwave oven,Microwave Oven Wf-853,"19,468",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/e/f/efdce5202bb24e87c6f08595b51ac934_4.jpg
Microwave oven,Wf-6300 Oven Toaster With Grill,"18,106",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/a/e/ae82fe4b2150cae5935c3c956487e4dd_3.jpg
Microwave oven,Manual With Grill Microwave Oven Wf-826,"12,170",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/1/0/1030fa15b75634ece3d96da6abfe82f5_4.jpg
Microwave oven,Wf-261 Hot Plate,"4,362",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/9/9/99b6d8d3b297b71c5fce3c11237b47f0_4.jpg
Microwave oven,Microwave Oven With Grill Wf-841,"19,013",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/b/5/b5a16ef7f496240b4fc11bfedfe90260_4.jpg
Microwave oven,Wf-3165 Pizza Maker,"6,702",https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/180x/9df78eab33525d08d6e5fb8d27136e95/b/6/b6fa29d88168c9c03913072c4df9953b_5.jpg
