Date,Product Title,Price,Rating,Review,Sold Products,Image Link
2021-05-12,NESTLÉ CERELAC Yellow Fruits 175g - Baby Food,257,4.96678,301,276,https://static-01.daraz.pk/p/f8f8f91d665d8424552e0a6199870ed5.jpg
2021-05-12,Pack of 5 Mask Ear Grips Adjustable -  Grip for Mask - Extenders / Holders - Soft and Flexible,88,5.0,29,207,https://static-01.daraz.pk/p/fa7de41353a75c869a2ff3c378ba8f24.jpg
2021-05-12,Enfamil A+ Stage 1 Infant Formula Baby Milk Powder 0 to 6 months 400 gm,1708,4.94059,101,97,https://static-01.daraz.pk/p/af4f8ef0e62d1bf88152dd08a1b2029b.jpg
2021-05-12,Flawless Women Painless Hair Remover Face Facial Hair Remover With Battery Included,369,4.77246,167,40,https://static-01.daraz.pk/p/mdc/0e812313afaa3c5c16bb019859aac6b6.png
2021-05-12,Mini Hair Straightner And Straightener,470,5.0,71,91,https://static-01.daraz.pk/p/f2e079b90da2b0967b517b7c4c6557a2.jpg
2021-05-12,High Quality Tummy Trimmer Double Spring home Gym Abs Exerciser,360,4.88218,331,100,https://static-01.daraz.pk/p/a17bbd75724e3cdd91dc63dd7e2a10fa.jpg
2021-05-12,Pack of 10 - Mask Grip Adjustable Straps - Relief From Ear Pain - Extender For Mask - Hook Holder Grips,157,5.0,8,89,https://static-01.daraz.pk/p/52856de7910ab06571a09cef7dd40071.jpg
2021-05-12,"Pack of 3 Adjustable Mask Extender, Mask Holder, Mask Grip",45,4.79592,196,86,https://static-01.daraz.pk/p/2e79302c6fd84d6bd0f05d663401ad0e.jpg
2021-05-12,Buy 4 Dettol Antibacterial Original Soaps 130gm at 16% off,280,4.91857,700,69,https://static-01.daraz.pk/p/d4834b0da328a5a3a88067d4a2ddb7f3.jpg
2021-05-12,Customized Your Picture Key Chain (Wooden),179,4.78161,174,30,https://static-01.daraz.pk/p/78fc4aba8a829be6750ec5502918fd61.jpg
2021-05-12,Pack Of 3 Gold Collagen Peel Off Mask Face Tear off Whitening Lifting Firming Skin Anti Wrinkle Anti Aging Facial Mask Black Head Care,136,4.62312,199,19,https://static-01.daraz.pk/p/18de7d901a969db130ef0c133567680b.jpg
2021-05-12,Seasons Canola 3 Liter Bottle,909,4.89474,38,85,https://static-01.daraz.pk/p/7bfbe98ccbbff449aab320b626d3ee32.jpg
2021-05-12,Turbo Charging Data Cable for Android Mobile Phones,102,4.91358,81,37,https://static-01.daraz.pk/p/80fffcafcc09b998a6895027c0c6f40b.jpg
2021-05-12,3PCS Portable Tinkle Eyebrow Razor Trimmer Eyebrow Razor Women Makeup Facial Tool Eyebrow Lip Razor Trimmer Blade Shaver Beauty Tool Tinkle Eyebrow Razor Peach Fuzz Remover Orignal tinkle Razor pack of 3 facial hair Remover Eyebrow trimmer Stainless Steel,99,4.97659,299,31,https://static-01.daraz.pk/p/1a2ee267b1f015d52331fe96dead43e4.png
2021-05-12,Bioaqua Pure Skin Anti Acne Serum / Facial Removal Solution / Original Bio aqua Brightening Serum,248,4.97619,42,13,https://static-01.daraz.pk/p/62a5c66faa64cd1cf3fb2e83b35e7ad8.jpg
2021-05-12,(BUY 1 GET 1 FREE) Handfree / Handsfree,299,4.75,28,44,https://static-01.daraz.pk/p/c1dca353fcb0866e79a739ee70d672e3.jpg
2021-05-12,SAVE RS.35 ON LIPTON YELLOW LABEL TEA 475gm,500,4.69231,26,44,https://static-01.daraz.pk/p/29f3cfed94e3e38c2bef5d21afd4f0a8.png
2021-05-12,BOLD SOAP 145gm,90,4.93644,236,50,https://static-01.daraz.pk/p/86745101efe28142b626557536629a83.jpg
2021-05-12,Adjustabale Back Posture Corrector for Student Men and Women Shoulder Lumbar Brace Support Belt,268,4.66,50,20,https://static-01.daraz.pk/p/79841a8705242a581ed8381109243f5f.jpg
2021-05-12,Palmolive Naturals Healthy & Smooth Shampoo 180ml,176,4.94231,52,15,https://static-01.daraz.pk/p/6b7f70898de8d653131be87070e70546.jpg
2021-05-12,Key Holder Tree Design Wall Hanger for Hanging Keys & Key Chains Best Key Holder for Home furniture wall Decor,262,4.95238,84,11,https://static-01.daraz.pk/p/590a1e409ef49cefac3afeda3cdb2aa0.jpg
2021-05-12,Bonus Active 2kg - Detergent Washing Powder,225,4.94595,185,21,https://static-01.daraz.pk/p/528e28327b3dc0741c1da36111e5214c.jpg
