img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c34.0.64.64a/p64x64/192178304_584064026316595_4536432317739056037_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeELrIUIBCINMsy8xjwbjHfNHcOhnXt4i80dw6Gde3iLzYp5pVq7gI1XXjGeDj7JQlhOdO964s0h6M06OIyxh6oJ&_nc_ohc=vfvz_Rxqu34AX8bog3N&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=67c93797e99cac2f301c5f5172ee2622&oe=60D11C57,https://web.facebook.com/groups/284795559994359/,Coffee maker,Public group  · 139 membersThe page talks about making coffee We must preserve our morals and that this page exists for the pleasure of doing the work6 posts a week|Public group  · 139 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/p64x64/131640278_236938901117868_1907078695980710188_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEk_b3E54u8Ct-d6yRYoqsDoP8K5WkKbPeg_wrlaQps91Nw3GhRcPVOYWUnpYFFfHzPjgKNp_DAHFi6UD_b8qxR&_nc_ohc=HeUwQaJo5VIAX8EA2lQ&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=ec0e60c4d4d616aecf627523353a9870&oe=60D1BF6B,https://web.facebook.com/groups/869654307199719/,ريڤيوهات ماكينات القهوة بكل أنواعها Coffee Maker ❤️,Private group  · 5.5K membersالجروب قائم ع الاحترام وتبادل المعلومات المفيدة للجميع ❤️6 posts a week|Private group  · 5.5K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.5.64.64a/p64x64/194216424_977121396362379_5572697197129082892_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFXn4ISzO8_PeqXKXJbfrNo_Jl-YKEcNFP8mX5goRw0U34my5nL6X0qqp2B4Mmm8G-4CoU9lCLegKKSmVlz5x2v&_nc_ohc=IqZqMKiJzjAAX-UUZ-h&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=ecb2db53a87607813f2f662cb5920197&oe=60D0BB5F,https://web.facebook.com/groups/213161696795693/,Coffee makers☕☕,Private group  · 364 membersلي كل من يريد انا يتعلم ولي كل من يريد ان يعلم احد ولي كل من يريد تطوير الذات 4 posts a week|Private group  · 364 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c16.0.64.64a/p64x64/154168228_472378680444996_2804140924334598204_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGN4jKjVN-Y8BeBA0Ay-gIVlupSYSSpviyW6lJhJKm-LAe1VUygnURQKPxDXsOiKuuVElS6xHCuEK-rMHmeTBtm&_nc_ohc=8zAAJyRiHjYAX9SfAvA&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=e8a19517c9a598c2c04d1956c7719963&oe=60D06B3B,https://web.facebook.com/groups/727724004829566/,BagCoffeeMaker,"Public group  · 207 membersFREE sample can be supplied.
BagCoffeeMaker - Brew-in-Bag Coffee System
Perfect for:
•Hot Brew , Cold Brew and Ice Drip
• Ready-to-brew samples
• Roaster branded retail
• Single Origin retail
• Exotic-rare coffee retail
• Promotional Giveaways
• Biodegradable and Reusable 8 posts a month|Public group  · 207 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.18169-0/cp0/c25.0.64.64a/p64x64/14955786_10154647890113926_5068114458236974940_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFFRmipr1PYQ74Q6kn4gz6iNP8e0g6iKIU0_x7SDqIohVl37NkrsH4vjjB-J2-eTcKkfIxHVgkzO5ozaVbqMM_h&_nc_ohc=7cK0LEXvUocAX8x6n3z&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=f66a783c3baa1bfabc38afe5cc4e178d&oe=60D0E86E,https://web.facebook.com/groups/1170457443047420/,Delonghi Bean to Cup Espresso Coffee Maker Forum,"Private group  · 5.4K membersShare your views, solve problems, give suggestions, ask questions on any Delonghi Magnifica, Perfecta, Primadonna Espresso Bean to Cup Coffee Maker4 posts a day|Private group  · 5.4K members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/965219957319362/,Instant Pot Pod Coffee & Espresso Maker Group,Public group  · 535 members8 posts a month|Public group  · 535 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c10.0.64.64a/p64x64/38872862_10155575388786615_1225947514985775104_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHkJE_hXmOVWgbn5HSuTxcURo62s8KENR5GjrazwoQ1HohX-VM-jHLkn-sfSo9O4nksAMxlin0QZJ2tlS3Ea4H0&_nc_ohc=0ZG7kcZDvFwAX8b6GME&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=be0ccf56f86fd727f9b758667b06a69f&oe=60D13480,https://web.facebook.com/groups/spinnvestors/,Spinn Coffee Maker Investors’ Page,"Public group  · 564 membersThis is for those of us who invested in the Pre-order campaign for the Spinn Coffee Maker. I have found they have limited, edited, and banned people from their FB page AND the online community they moderate.  5 posts a day|Public group  · 564 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c7.0.64.64a/p64x64/71343773_10220633913335690_1370140012472958976_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFFIPJzOI21Uu8FyTZkB74XBXo7UyY6xfUFejtTJjrF9dYiPBFFm3WhaCnIFEDwIlb1M9GQ_d_ALuxC0TdiAiCq&_nc_ohc=B5PAQC4WATMAX_sxcu8&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=91f874a38934dfa14a8296dae3088193&oe=60D1B4B9,https://web.facebook.com/groups/401011263785539/,Pizza Burger and Coffee maker job Center,Private group  · 322 membersThis group dedicated to provide better opportunity Pizza burger and Coffee makers and lovers|Private group  · 322 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/144635595555766/,Coffee makers,Public group  · 1 memberCoffee makers|Public group  · 1 member
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/228410110503849/,Coffee Maker,Private group  · 5 members|Private group  · 5 members
