img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c52.0.64.64a/p64x64/145366903_219048303268303_450414660695619066_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFwBk2J71Wwf5lr5D6JopXo2MqklCMHJIDYyqSUIwckgI1SOI3MkDcW2F7N_liRuNervd_HOKYR2MMEkIjoxRkJ&_nc_ohc=1AQwHgj5FYkAX-sFuw2&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=851f6d69bca3b340a4eaa5e41e9572e3&oe=60D0B62B,https://web.facebook.com/groups/toastthegamer/,Toasters,Public group  · 447 members7 posts a week|Public group  · 447 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/p64x64/187160477_314153520215275_7765250844110602973_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeE0CQDOaKoPIlII3ctEQ2_KSdrBJciz71NJ2sElyLPvUwHU3kBQSC1HhPPfzRxcOtJr5MMyU94xOplx9p_MQq5s&_nc_ohc=8eF6YS3ECWUAX8w2Hpy&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=d71e86b8ee0bf211e4886f5fe26d9bcf&oe=60D13DD3,https://web.facebook.com/groups/835163503875991/,Toaster group,"Private group  · 59 memberssupporters only!!!!! you guys rock, you'll get exclusive updates on what's going on and also the supporter server, and supporter games!!!!!7 posts a week|Private group  · 59 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c54.0.64.64a/p64x64/10313372_1596598603962651_8697924555939195376_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHKIsrBVd-yp_ttZCIh1XiMO1FiyLsRQt07UWLIuxFC3cgwF2UqxANw97t0mR9hMCvTqq6yVFfUA4kvG2uFKvyN&_nc_ohc=Yx9Jtg3CKY8AX-ZlPOP&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=002ad4d159eee245e6b16465a19b33fc&oe=60D04500,https://web.facebook.com/groups/ToastersUnite/,TOASTERS UNITED,"Public group  · 79 members   Tired of the Focus on one Brand & one Model?... This is where TOASTERS UNITED comes in and helps as it should be considered one common goal is to be ""UNITED AS ONE"". 
   Where ALL Import Boxes & even Domestics Boxes, Toasters, and other Box Shape Vehicles & Owners can Share, Like, Socialize, Meet, Greet, Setting up Car Shows or Whatever locally in your Areas. Share with Stories, Photos, Videos, and to Sell, Trade related Cars & Parts, Die Cast, Collectibles and other related Toaster stuff. NO illegal stuff though! 
   Show Off your Boxed Toasters either Fully Stock, Daily Driven, A Work in Progress, Sleepers, ""Built Not Bought"", Totally Full Custom, Show Trailer, JDM, Full Racing, Tuned Boxes & Toasters share them all.  Hopefully members can help with Tips & Trick ideas.
 All is asked to use this Group Safely & Responsively as the Group Creator or Admins are NOT responsible for any issues that occur personally here. 
ATTN: One request Please Do Not Spam page with same Personal Pictures of your Boxes, I see the same ones so much in the other Groups on FB. Thank You & Just enjoy!7 posts a year|Public group  · 79 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c10.0.64.64a/p64x64/137323481_10223580121318710_2456381259278266946_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEUQNr1J4JETtPM7r-y3vZVbxNuyvuDEQpvE27K-4MRCg2kc50YGmLHHS5sCInLXAVJsqWICxeyfAZMeQ7sPOGd&_nc_ohc=vBRDcNa-DwUAX_RMaE6&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=7d95b792a0d61c68195248c6728ea731&oe=60D1B3C9,https://web.facebook.com/groups/252741206201246/,Someone fetch me my bathing toaster.,"Private group  · 423 membersThis is the back up! We got Zucced 😭😭 All y'alls are terrible, horrible people who find questionable things. Please rejoin us for a Pikachu style bath.10 posts a week|Private group  · 423 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.5.64.64a/p64x64/159635278_372114227796138_4356176754864614396_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeERIxT86-TurdRI8DF7beLr4R-vjuUNNBvhH6-O5Q00G6wbjonUIGNIeGUMVshlm-hwwL3b2_-rNIpYYPQC60tB&_nc_ohc=Ftai_Oq3KdsAX_o1Z7Q&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=748b070d039c82c0e71868306479ffc7&oe=60D052C6,https://web.facebook.com/groups/695410611346380/,Someone please fetch me my bathing toaster.,Private group  · 2.4K members6 posts a day|Private group  · 2.4K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/73009828_3234729999933476_8814571616487866368_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGO2JbFhULXGNBzDyeRgskv_oeJ_1_Rz6L-h4n_X9HPoj2SXGsm5FmT1bE6A8qFhFRJmuR46eI0oIwV7ZrjURFJ&_nc_ohc=qSacOK09HqkAX_jjrxk&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=910115f1e051f10e644511905a079ac0&oe=60D0707D,https://web.facebook.com/groups/428785967902269/,Time to commit toaster bath,Private group  · 1.8K membersA place for quality cringe. A place for you to post the most vile cringe you can find.2 posts a week|Private group  · 1.8K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.8.64.64a/p64x64/131919635_10221879487289962_3756913808915954027_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHXFKFbAUIKExpnU-gX6aq0OPA9Z3ynPDI48D1nfKc8Mk98cW_Nefs9cK9sbgYET0ApFwpd_JLm-XrJYCClgI8l&_nc_ohc=AI8ONkkQPYkAX9hW6jo&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=305e5bb271002329a2396b6069439f3d&oe=60D0DFB7,https://web.facebook.com/groups/toastercollectors/,Antique & Vintage Toaster Collectors,"Private group  · 286 membersI couldnt find a toaster group on facebook, so i made one! This group is dedicated to toaster collectors to post their restorations, and any questions they may have!10 posts a week|Private group  · 286 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c8.0.64.64a/p64x64/96736460_166943448116638_2620809999164637184_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFVvu4IyNily0Rguw9GyxbCW0TcjqHdoKBbRNyOod2goLV3ImJbS21-I4tIRWdN__bwdUpUkCxYDm_C4_vAbRVR&_nc_ohc=Tg82NHIB5hMAX_rgahc&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=5281677dd9b437b4ed1afc52bf36de4c&oe=60CFF417,https://web.facebook.com/groups/2373227959634289/,The Toaster,"Private group  · 1K membersWelcome to the official group for calling out the inbreads of motorsport.
While the page is for supercars, here is the place to share anyone that makes a brain-dead comment about any form of motorsport anywhere in the world.
The only real rule in this group is be respectful!
If someone posts a screenshot of your comment you can defend yourself and explain it, if it devolves to personal attacks then people will get kicked.
When you post a screenshot, feel free to caption it. But no personal attacks. Make a joke or a reference, but don't try for what you consider your best sledge. We don't want this to turn into a group for bullying.
We'll also try post all our shots that aren't quite good enough for the main page
Join us on discord! https://discord.gg/eGeWn5AbmC3 posts a day|Private group  · 1K members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.17.64.64a/p64x64/122457160_340574167173385_6483556803785385674_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeE0-CHq5iXzgK_IXAVD2sKu6sHb7YtXG9jqwdvti1cb2ClW_YCYGRknmtxF-DJ2NsPvhVkaFKEcZHiVxvpZXbqv&_nc_ohc=YT-QZQxaFWgAX_5GuFy&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=774dfb953fa863aa2620c7dc39641ff5&oe=60D02A29,https://web.facebook.com/groups/1758587620978689/,�MANSA TOASTER'S�,Private group  · 149 members|Private group  · 149 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c16.0.64.64a/p64x64/10930090_901622086537596_5598543088429937973_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFFRLfSaQ9xLSpzPq0JTipdb-Gi_qyQHhdv4aL-rJAeFyhP0IRasM9GFBR2jxZAMtup2FzmM0vXgljH8lDMqC_7&_nc_ohc=EfD8nwRrrQEAX-GQUyd&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e73c86ed9ce3384f15ceffa66b9770c&oe=60CFE008,https://web.facebook.com/groups/toastersquad/,"""TOASTER SQUAD""","Private group  · 1.3K membersTOASTER SQUAD started out with a group of Xb owners that later became good friends that found a bond or common interest and that was the SCION XB 
So now we want to see all of the other SCION XB owners that share the same love and interest for there TOASTERS!!|Private group  · 1.3K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c33.0.64.64a/p64x64/154611802_4570602656288569_7760181197555476515_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHDbbGx3VSJbPHQPMrYvDGp296Y39I3PLnb3pjf0jc8ufqHsGE4jrZmVey-ax9hV7redqg1YyATd72BM1_eJp-Y&_nc_ohc=MCjaSDx4xLYAX938EaH&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=b5f2d96d86f4b0f09b8aa0d6cbab8a27&oe=60CFFF80,https://web.facebook.com/groups/2230643733734215/,ToasterNation,Public group  · 558 membersthis is a place where All are welcome!!!!! toaster family and more!!! share whatever you would like to the page just be respectful!!!!10 posts a day|Public group  · 558 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c71.0.64.64a/p64x64/101881143_10220216396834390_1554504165238213912_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFfJA23yLrIk4il76rzJMTzVtoy6SmeCWdW2jLpKZ4JZ7tV7tbBaIRgMVQkmnW5K4YscQucQcYrzOiWYmtQRm_n&_nc_ohc=yM22w4YWuQYAX_eULKk&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=7b6d14a61596729796b00cfe059a82a4&oe=60CFEB01,https://web.facebook.com/groups/283680751756551/,Sunbeam Radiant Control Toaster Lovers,"Private group  · 60 membersPost photos of your beloved toaster, perhaps videos of it in action. Ask questions about how to adjust it, or how the heck does it work?|Private group  · 60 members"
