img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/169080067_3754284751287239_5873081493777741004_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFjmj6aWS7w9EC68tMAvsxGcq_0Fw76Tntyr_QXDvpOe0l_ZlGh8AIM6F3wy50M9IjOrBgwV2qNaMHfounccice&_nc_ohc=iHfqVUFuMPsAX8m7UiZ&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=997762787c3bde6dd7026fab5b4a67af&oe=60D0DDEF,https://web.facebook.com/groups/162252229015122/,Second hand freezers for business,Public group  · 2.7K membersSupplier of Surplus and secondhand freezers for business low price and quality 10 posts a day|Public group  · 2.7K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c9.0.64.64a/p64x64/160961842_10158079074888601_6879945795561446449_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFjNGTveRma0g6a1ALFMh_FB-4aCoh0eIoH7hoKiHR4ipfJI3kdSfzXcBeLL3PDUBfjjgPu578LBtZ_h_wlEHS8&_nc_ohc=Yx3adXfKo3EAX-69pHK&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=7eaa3f113166a40ef6468f02e96bea2f&oe=60D02F39,https://web.facebook.com/groups/929362234535225/,Fridge/Freezer Finders,Public group  · 786 membersFind a fridge capture it post it. 10 posts a week|Public group  · 786 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/188137236_130277492499396_7054615338655659668_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFqZANsy4TAXhxY2igf3MNtytfH_boqMeHK18f9uiox4W19EfmD1WqIjkygvvkuVJ9uwIRhCHGbbFNeLvu-rZoB&_nc_ohc=qtIX0KrHwdkAX_8PS7e&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=7c6447f863e6a0a6fe85cd478ebb43e6&oe=60D084FB,https://web.facebook.com/groups/1478809882461086/,Buy and sell fridge freezer and refill gas and fix,Public group  · 260 membersSelling fridges10 posts a year|Public group  · 260 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/117174716_1072034859859118_785563868640662108_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFGhPowZrNawATDNNOvebNRNlzAAbxGQb02XMABvEZBvQwSouBvrwe8ftmBgbJhoWG0W2mQKRMyuD9Q39wWGUFx&_nc_ohc=oDuyafZVeMYAX_C1eLz&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=7b274daed5ff543c2d37bbd4634f465c&oe=60D0C004,https://web.facebook.com/groups/606817500037864/,selling all your broken fridges and freezers an your household appliances,Public group  · 4.7K members4 posts a day|Public group  · 4.7K members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/70344687_3010072115731518_6981261677979238400_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEMqKG5jE2XGxvqkZGZBnH2gcFJgCX7B3aBwUmAJfsHZjLXKCCbFssl1casiFgywDloesMEteeE8jWAZzX2OIx&_nc_ohc=Rw2_U0_ypkoAX__czB6&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=a795b0021217f74e98ac700c728c43bf&oe=60D0B6F9,https://web.facebook.com/groups/344711732919732/,komunitas pendingin coldstorage chiller freezer,Public group  · 3.7K members10 posts a day|Public group  · 3.7K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c15.0.64.64a/p64x64/131920234_2939554139648897_4407323491194308331_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHP54LdnqvttcR1mpzd5FvdZlqVvDtVvK5mWpW8O1W8rszdLH-griHQyukUzrgIlu2QspPBFPy4bpjS_CeWNlw6&_nc_ohc=hhzEAFqYWQ4AX81XWIu&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=5b216bc018cb34dc2ad48ec61d74f63a&oe=60D1B1CA,https://web.facebook.com/groups/2331238166902102/,"Solar Air Conditioner,Solar Freezer & Solar Power System",Public group  · 1.7K membersPower Your Home With Solar2 posts a day|Public group  · 1.7K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.11.64.64a/p64x64/191624953_116341097296830_6121719165994639349_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFgRXtuFHaR292mNQy412h1daa1NNpTonx1prU02lOifAqymoS4N2Nj8andIp2yh__xH_C1f8NOK5Hw_Vi9NLbK&_nc_ohc=qc0GPlnHdYMAX_bvWAi&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=26af490df9b713b3a6212375d9b48143&oe=60D0EF03,https://web.facebook.com/groups/223044105997309/,Freezer Ug,Public group  · 22 members3 posts a week|Public group  · 22 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.1.64.64a/p64x64/60349775_1329231990547953_6494012778007756800_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEW7X2-IGlMQaChXISZuEmXAz1PdUdvMXQDPU91R28xdLGhyFkzPLIpDg_q6VkNeIVGNGOjez1dcwYXK7EUVlzw&_nc_ohc=_29JV4WVh_0AX-ejxV8&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=2718c2e0befbec1fd7897abf370b24ae&oe=60D0CE57,https://web.facebook.com/groups/204349749919096/,JUAL BELI KULKAS DAN FREEZER BEKAS AREA JOMBANG,Private group  · 9.5K members4 posts a day|Private group  · 9.5K members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/53720104_386825042097759_5752881540761649152_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEgGm3vbeMdqSnFnCA-_bYb61a-N5QvQtnrVr43lC9C2Z7AIEm6be0f0fN0xVYk0MtvQpVtl7MzcYU25N-cDmNr&_nc_ohc=rT9gdDdfpLEAX88KHMH&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=931b227437335cefde1ab60e95fd45bb&oe=60D0F9A7,https://web.facebook.com/groups/532543090528147/,Commercial freezer equipment( for buyer and supplier),"Public group  · 1.2K membersThis group aim to provide info about commercial freezer equipment for buyer and supplier,we welcome all the post about this topic and hope help a lot for every member3 posts a day|Public group  · 1.2K members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/p64x64/10368408_1385799701717402_1506599406190623877_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGukvCHldHPvH4LglO_FqJew2p5dPYey7XDanl09h7LtVyvC8JUCKKZs2mga6XRnOAg3UDoI7UhZ2lu2TvgPCVc&_nc_ohc=Kw7dxH4XAkYAX_zBe6T&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=0d0e29eab8552e5b06e2f222f6ccafbf&oe=60D0FFC9,https://web.facebook.com/groups/672524876194098/,DC solar powered Fridges Freezer,"Public group  · 3.1K membersDC 12V/24V SOLAR REFRIGERATOR
DC12V/24V  SOLAR FREEZER
DC12V/24V  PORTABLE FREEZER/FRIDGES10 posts a week|Public group  · 3.1K members"
