img_link,page_url,page_title,aduiance
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c14.0.64.64a/p64x64/153679194_3852220968132586_8482500077586718308_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGNgt_Nij19ng825aDq4_dxg-KU7VhLJfqD4pTtWEsl-oegdYFDOVLLDtP1Zo0BEfo3wLVy4GUEfBgkwRyTG3J9&_nc_ohc=UCS4J1iwHEEAX9OF4n5&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=2fa61f01c213b4ad23441398d51f15f0&oe=60D19663,https://web.facebook.com/groups/893599208121032/,"Coolers, Gas Geysers, Electric Geysers, Fan Heaters wholesale and OEM","Public group  · 111 membersJointless Coolers, Gas Geysers, Electric Geysers, Fan Heaters Available at Best Prices3 posts a week|Public group  · 111 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c15.0.64.64a/p64x64/138308671_10208544145598845_2264915244312792270_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFt6Go3j9DFKS5lapwsybnMqdx10iiZTjGp3HXSKJlOMZCqZ5xgGkyTV68b9ngr4BZYRYHLVVCOKepGMsOCwHZV&_nc_ohc=62g-95LjhfwAX9TvwZX&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=9a24a06872024cfd9f36b71d50b34dd3&oe=60D19342,https://web.facebook.com/groups/1223269761391744/,Antique and Vintage Electric Heaters,Public group  · 143 membersA group of Antique and vintage heater enthusiasts! 7 posts a month|Public group  · 143 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/111146273033004/,electric water heater,Public group  · 1 member|Public group  · 1 member
https://scontent.flhe2-2.fna.fbcdn.net/v/t31.18172-0/cp0/c61.0.64.64a/p64x64/27628960_181117485980533_2487735198763316292_o.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeF2NIUy9hA-aCYE0lfiA7oXGIt0I9yIl84Yi3Qj3IiXzoOYWET4KPW75bB6TvET1GVWh5c4oEFTrRCJiir1XUJB&_nc_ohc=RnOjwmV58TkAX-_jz1B&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=fce9481725a524b3447fcc04c2188806&oe=60F18437,https://web.facebook.com/groups/163152400995287/,Electric Heaters&Water dispenser/purifier,"Public group  · 42 membersThanks for all the members!
In here, we can talk about interest things or share your ideas, and I will update some products, infrared panel heaters and kinds of water purification dispenser, RO plant. Welcome any questions. Share this group to your friend would be better. 2 posts a year|Public group  · 42 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.18169-0/cp0/c20.0.64.64a/p64x64/13423744_283109882078009_9139002648602733437_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHCR5mC670E8ujYyz5QuzTt0XCoIiHN7xfRcKgiIc3vF9NJC7d_u0E3HvQ-YOPPMODAtHRiMfgm_yH179_i_W7a&_nc_ohc=scXx2EkwqGAAX_TxIQ6&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=d6f1eda63146477ba2aeb2332d8e850e&oe=60D1ACC8,https://web.facebook.com/groups/555180121326570/,ELECTRIC WATER HEATER,"Public group  · 37 membersDaalderop 
Holand since 1880
Produk no 1 di dunia 
sudah banyak mendapatkan sertifikat penghargaan diberbagai negara di dunia.10 posts a year|Public group  · 37 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/88175282_136659237838673_301313911687217152_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHTM6ZyV2BKU0zJhkVOYxjstd57kIW9MDG13nuQhb0wMTWC2_fjJk-JZvvfrUlWGXHWsLwwIZRZKxjp6F9bwr40&_nc_ohc=F3x0X8RQyHEAX_6g6ZF&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=10dc549bfcf9bee9a9505494920a41af&oe=60D00F8D,https://web.facebook.com/groups/337722967151985/,electric heater  and handy man services in Barbados,Private group  · 12 members|Private group  · 12 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.18169-0/cp0/c54.0.64.64a/p64x64/12308266_1691617017777004_6295814460810375761_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFeeU-5DonmA_jES0MbtTKj3kv5erTfMEjeS_l6tN8wSCpyLYul9ozHT1YM5tLYson4vTsylgPuJTFh0rcGmdEb&_nc_ohc=kQGqLprARm8AX-ycTuq&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=e1c69ca279b8e694ad3b3a745517b2a3&oe=60D0A71F,https://web.facebook.com/groups/429603847244718/,Electric Water Heater Production,"Public group  · 12 memberswho deals with or interested in electric water heater bussiness
electric water heater production line design2 posts a month|Public group  · 12 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/90316090_139826524235113_7004943152691806208_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHDZSOmbF7ysz1jkR7SLeRV4UTICiMlCAfhRMgKIyUIB4Hp7qlFmdYYe3xY9j38xTc21R7GqaN10sLJJjsTZ2Bi&_nc_ohc=y-Dl2UwDXUAAX8wpT-I&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=b00406a909450438111f701f6fa398d6&oe=60D0790D,https://web.facebook.com/groups/885921685182239/,Electric heaters and sensors,Private group  · 3 members|Private group  · 3 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/200218810382786/,Electric Water Heater,Public group  · 20 members|Public group  · 20 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c21.0.64.64a/p64x64/157072551_1836292219872696_7164305923823213007_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGPOphekTs8QeYHrjgxf2SGQzEPQ453KsBDMQ9DjncqwMWwLy0QxGHQV6ZQe18olvGgG5vYrHnX3GlH042AvOWF&_nc_ohc=itYfOHiT1lYAX8SHy3G&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=b2e08ad522e9b119835326972c8dd138&oe=60D00092,https://web.facebook.com/groups/443158033546027/,Abubakr electric heater,Public group  · 9 members0304367227010 posts a year|Public group  · 9 members
