img_link,page_url,page_title,aduiance
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/135461166_1604612133070627_3905454602121078375_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEZKAPxqxv8rQ1m0-2_eO8gzsdT5G7G7CnOx1PkbsbsKW7IF2maz219m6kpbJ3ZLRkYXiTspKxj4IwbGqhEgRBC&_nc_ohc=m5V6-hTgWJ0AX9beUDW&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=6af4ed27da6fd28e7d11c32b1e81597c&oe=60D04026,https://web.facebook.com/groups/502158034090357/,"Pallet work , kettle repair, iron electrical and dish installations",Private group  · 321 members|Private group  · 321 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/468329783248951/,Iron man? nop....electric iron :) :),Private group  · 3 members|Private group  · 3 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/110826905654503/,Electric Irons tattoo,"Public group  · 13 membersTattoos... trad, jap, new school, pin up and cover up tattoos...also  hand painted old school signs and briker bracker..|Public group  · 13 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/257879024745915/,welding electric iron door & gate group,Private group  · 25 members|Private group  · 25 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/865438183569389/,Hot Electric Hair Straightener Comb LCD Iron Brush Auto Hair Massager,Public group  · 28 members|Public group  · 28 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/856996671086463/,Hot Electric Hair Straightener Comb LCD Iron Brush Auto Hair Massager,Public group  · 51 members|Public group  · 51 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.16.64.64a/p64x64/148134764_2916634841903600_3516534300993764716_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeH0BCfuPtfxL53OTgIlycyEef_UheEFkZN5_9SF4QWRk5Km1DgVmeKYYpnAGh16LJLmg_uMAlXuai5Q1gdW3w8N&_nc_ohc=7KHndnF0AnQAX9aWXYq&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=3bd1c475ff266c2c6816f27cf8cb2eb7&oe=60D014C4,https://web.facebook.com/groups/119039853459473/,Arif  Brothers Iron & Electric Store Dholan Hithar,Public group  · 1 member6 posts a year|Public group  · 1 member
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/1631511573784047/,Usha electric iron,Public group  · 5 membersTo get job|Public group  · 5 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t31.18172-0/cp0/c25.0.64.64a/p64x64/26172728_10215918632058861_8215856856497813052_o.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeElf2CbPxbhkTzpCsWjWAC3jWMD5VsQhsWNYwPlWxCGxWYZ2BcW3OrWORm8iyI7_TdX62SPlr4sxEQXGOgxTQkC&_nc_ohc=XftJxCe3TfQAX9oiJt8&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=3f9bed78b620a96c812dd6da3168f2e9&oe=60F3052D,https://web.facebook.com/groups/1547916818597588/,Iron Mountains 2: Electric Boogaloo,Private group  · 6 members|Private group  · 6 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/334197216733488/,Iron Kingdoms Group 2: Electric Boogaloo,Private group  · 7 members|Private group  · 7 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t31.18172-0/cp0/c11.0.64.64a/p64x64/20157884_1719462265025854_8453425542126397404_o.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHjhR7rtPMCdQ_qaAJ7bzdkNtvPjCGAJuk228-MIYAm6VhXJrvyW5wNCPbZtZG-oNa5l7csKzbI2K35niamn9my&_nc_ohc=NDH2C8n50p4AX8jdb6G&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=73b69196adb096f786f1cb495cd0e27f&oe=60F21C57,https://web.facebook.com/groups/443555966016876/,Heirloom Irons Electric Tattoo Machines Group,Public group  · 18 members|Public group  · 18 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/847604008686883/,Hot Electric Hair Straightener Comb LCD Iron Brush Auto Hair Massager,Public group  · 16 members|Public group  · 16 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/949466518796940/,Electric Iron,Public group  · 1 member1 post a year|Public group  · 1 member
