img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/247566220327567/,Almadad Commercial Juicer and parts,Public group  · 10 membersCommercial juicer and parts.  milk shaker And parts2 posts a year|Public group  · 10 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/p64x64/85208278_215169069660114_8324464995601481728_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeE-v65XTQzf165S5CS0nKGDbko6iNZEa6VuSjqI1kRrpcKyLnbg3u-GNCw_RzrLirr5A9J2vZ2TkHErZjFkirRy&_nc_ohc=GBJ90T4id2cAX8Syxkd&_nc_oc=AQlszhVZ16wX4-odK7DqlJCWGRfKRGTLiBN_XXTNfXhmlH4CLM7I36u7KyDXaNjUlKk&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=fd37e988127f58dfac416e8869bc0e21&oe=60D11245,https://web.facebook.com/groups/129647741621490/,Electric juicer machine,"Public group  · 2.3K memberselectric juicer machine grind all types of juice, it makes the work easier and very very affordable7 posts a week|Public group  · 2.3K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/p64x64/118331040_10217006844749704_111715495181846229_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGiL3VCromcY66hjmu_0nUSxXqr7ivtukfFeqvuK-26R8xzq9fDfdD3OpSfyl2XuBV02mutAW3E0noIqs3DOtg-&_nc_ohc=c-7O04mqMTsAX9lYOF2&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=840b2b0ee769ba0aa8f1dfeaffa8bf83&oe=60D0537A,https://web.facebook.com/groups/2446409128986224/,Smoothies and Juicing,"Public group  · 3K membersThis group is to share recipes, encourage, and give info about smoothies and juicing.2 posts a day|Public group  · 3K members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/167135737_739981849998616_411307976791533008_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGmSBotyRR8LBJrho_RrHO3b6vc1c3n2mtvq9zVzefaa3f5jXJg_kq0BY7HHPRQDZ4H_BB7FBiu3w8Iv-Zks-r9&_nc_ohc=SfGtR5g9JF8AX-U4NCa&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=f3d2f32785a244951fef70a86a8e0c97&oe=60D0091A,https://web.facebook.com/groups/756103138437956/,Magenta Poop Club- A recipe sharing group for juicers using beets.,Public group  · 29 membersA recipe sharing group for juicers using beets.10 posts a year|Public group  · 29 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/141011924_10217654489747150_3587064945732978688_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGGhReyOIBC8R04lNSqAlT0Mtk-jEP6lgEy2T6MQ_qWAQM7AigykKCW9x9CFRsSuuY0QhQldYPLGxkp_AwMqa7m&_nc_ohc=-t_HgTySNn0AX9HuAe6&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=4fbcea04e70341bb1bdc6beeb7677525&oe=60CFE528,https://web.facebook.com/groups/228108525395923/,Steam juicers [Canning],Private group  · 191 membersThis is a group for people who use steam juicers and would like to share their experiences. How they use them And any recipes that you would like to share.|Private group  · 191 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c34.0.64.64a/p64x64/118231465_10220094193479106_7975195174694886351_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFXyTs62HcYhqf0H5pSsMoPETorSj_t_cQROitKP-39xETUFEktUZ_QTvkbp3hCCQRnTICiz6YARyPIJIkJwV40&_nc_ohc=fuW0lk4dZq8AX-LYClc&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=311c17f3cf41fa26e98e038e12645f17&oe=60D144C8,https://web.facebook.com/groups/564536220874723/,PINEAPPLE JUICERS,Private group  · 118 membersThis is the new LTR group. It is for LTR listeners ONLY! Pending members will be vetted.3 posts a day|Private group  · 118 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/1089124861159543/,Working on Almadad Juicer & Blender Parts House Lahore PAk group,Public group  · 15 members|Public group  · 15 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/194902062_298205558619084_2668111317597100197_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeF7MN4_snSgz55INl5urHFfC-6GOUgzyB8L7oY5SDPIH_EVU98fV8MU3sWaO3iDxo3Lfo3VXGo_Ml1FuaafZOsT&_nc_ohc=3BcJBaf-4T8AX-q2XOY&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=59a1317b3b8b2f6bdbbd34f499d52489&oe=60D02C08,https://web.facebook.com/groups/766126060748265/,juicer for sale,"Public group  · 7 membersselling a juicer , brand new ,never used, in box.  $235 or best offer !4 posts a year|Public group  · 7 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/p64x64/41543085_665833103816708_40103200564445184_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGsABa9qUObnmKGrUp6GT-9TDp5hKAcSOVMOnmEoBxI5QQL2QtJJD2vjNhgfRMR5tKUTxtDSzi-HZMpWJeDwKR0&_nc_ohc=nyHsZTcDc0AAX8FvYaG&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=13eae0b0e043e016aed21918cc4f7401&oe=60D00571,https://web.facebook.com/groups/204912726748923/,AICOK & AICOOK Juicer,Private group  · 4.1K members juicer communication|Private group  · 4.1K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c25.0.64.64a/p64x64/67265723_1264030993774772_7810855952894132224_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFspPxnB-MDykc_EQu9lJUim6MDU_NZA5SbowNT81kDlAxA2Llu-y1dYWtw1liZxqA49QI_t1975le-8Wkd8oIR&_nc_ohc=LCY5qd0zof8AX_72t_h&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=769d28f690019188fba661a7ee56f8c1&oe=60D05F92,https://web.facebook.com/groups/2307614029487299/,Milwaukee Lime Juicers-HELP,"Private group  · 4 membersHelping other baby juicers how to use the app, what and what not to do, updates , purchase gear and chargers, and much more.|Private group  · 4 members"
