img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/182642543_231337338747939_2057220033147415945_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeE9TfDiIGTdVrgx449YljT5DCvNSRiCGeMMK81JGIIZ4w5W5y12rt-XYJSA_WpfdC4LqvDyf7zrgszHHn0iyZmP&_nc_ohc=ET2qT5_BMocAX_8lmAW&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=385ccf4efe080cb884f82f67dc323f10&oe=60D0213A,https://web.facebook.com/groups/504853357367164/,Cookware&Whistling Kettle,"Public group  · 23 members
Exporting and wholesales of stainless steel cookware and tea kettle2 posts a month|Public group  · 23 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/197739626_114469990838032_4587245866246588042_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGaf0Sv6QEwJLph9zVAwVABy68YAqMUMvLLrxgCoxQy8m8QHduNds5Kzh1tMTxqWxlE8_ln6BDKYPDLEUeaB5g3&_nc_ohc=49T1YS_-yvUAX_u7zrK&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=a1320bfa4c55861e48490c60c6f55d98&oe=60D09109,https://web.facebook.com/groups/172174588191794/,ELECTRIC KETTLE SIS'BRO'HOOD,Public group  · 7 membersMONGGOLOID5 posts a year|Public group  · 7 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c0.7.64.64a/p64x64/19437299_1872850819642143_8018004582279710179_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeH54XWR6wetXCoAOfX8vlmGFY7GdhDrf_4VjsZ2EOt__vQ5lhLV6n7Xd_FwbLofP835L6ox1VTjwamL9YTGa6xH&_nc_ohc=6VhlxjK0G7EAX9jHnFj&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=feb3e090efb966fe121d71bfc32fec62&oe=60D154A7,https://web.facebook.com/groups/141985436376733/,Electric Kettle,Private group  · 31 membersA sunny place for shady people.|Private group  · 31 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c19.0.64.64a/p64x64/130587231_181298153672793_7848462477627520151_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGPf_kTFpx_EEdvNXC6wNX2d5-bN-9xFVV3n5s373EVVbgWEvjf8yviyvQd0A95uvZtShdNcqn3eiPz8Zw0pmPx&_nc_ohc=LXvg7ERxfkEAX-ZrbUz&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=732ebec59c98ffeb94f988bfaed4a265&oe=60D1C539,https://web.facebook.com/groups/741637423110423/,electric kettle,"Public group  · 2 membersGuangZhou TaiPeng Electric Appliance Co., Ltd. has a strong production strength, specializing in the production of fast electric kettle series of household appliances, which are novel in style and complete. They are sold all over the world and are deeply loved and praised by consumers.  After years of unremitting efforts, the company's marketing system has been widely promoted throughout the country, and its brand image has been recognized in the market. At the same time, the company strictly implements the international quality management system, and strives for survival by quality and development by reputation.  Purpose, ""Pioneering, Enterprising, Realistic and Innovative"" is the goal of the enterprise.
 Warmly welcome customers from home and abroad to cooperate with GuangZhou TaiPeng Company for mutual benefit and coexistence to create a brilliant future.4 posts a year|Public group  · 2 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c80.0.64.64a/p64x64/11889652_125313287813920_1395389069447019037_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGmGpdh4XrFirynOrr1YScXb9AruO5lV2Rv0Cu47mVXZJRcTcgarI07CypxeLHsIdqWXYPmo0hgn3Kk5qoZvGLu&_nc_ohc=Fzj8J5rbHjMAX9OJpJm&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=9828d70e2abb49f9b1ad388b59c31dfb&oe=60D0D383,https://web.facebook.com/groups/1525185177703952/,Cordless Electric Kettles,Public group  · 3 membersAre you plan for buying an cordless electric kettles? If yes then there are several points you should consider and think through before buying. With the huge selection of electric cordless kettles on the market today it is not an easy task to choose the best one for your needs. www.cordlesskettles.co.uk|Public group  · 3 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/269689877005936/,Electric Kettle,Public group  · 1 member|Public group  · 1 member
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/2116133201818360/,Electric Kettle,Public group  · 1 member|Public group  · 1 member
https://scontent.flhe2-2.fna.fbcdn.net/v/t31.18172-0/cp0/c28.0.64.64a/p64x64/11057272_10206789908618154_5069102111697303522_o.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFmTy7GpjdxO6ojhNPUGvemwVRikrAanD3BVGKSsBqcPSnnHyytLUFrZrOEI-vM-tJOzE67rq8HnbLswtMJlwev&_nc_ohc=fL7bvwB_CM4AX8uUyYB&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=75753d3ec36ef76219d4d07851a3f88e&oe=60EFF94C,https://web.facebook.com/groups/1017935198258977/,MDPrinciples 3 Electric Kettle Presentation Group 6,"Private group  · 4 members•What limits the energy efficiency of the current design?
•How could the design be changed to increase energy efficiency?
•Do these changes reduce performance in other areas ( cost,
usability, etc)?
Deadline: 4th December 2015 4pm|Private group  · 4 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c67.0.64.64a/p64x64/12308358_201229776880587_5059862312604209865_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEuKZPfqhI56U1t95VmuZeMLz9ISzaZHOkvP0hLNpkc6bxJd8Ns5Tv658d_RnwY7KLvJY6a7uQ_eRqjPZnOq_M5&_nc_ohc=e1fhAXYIFccAX-rekcE&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=5d5dd67151f8def636be6ea2df6bbbe0&oe=60D09D39,https://web.facebook.com/groups/519908124835146/,Electric Heritage Kettle,Public group  · 1 memberElectric heritage kettle is stunning addition to your modern kitchen available in stylish look and timeless design. @ www.heritagekettle.co.uk|Public group  · 1 member
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/160408301209827/,Electric Kettle Project,Private group  · 2 members|Private group  · 2 members
