img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/166866362_280282376939306_967051327160250729_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFj94C5OEf8R-w1FQAZxKMZj4UPqd7oqoOPhQ-p3uiqgxZK5G7_LLvga0vKgqqvEZ0qrtlawgoSnlP8iPwag2rR&_nc_ohc=TP2ff3xz654AX-vEnZE&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=08c3f5b453d07c9b14772b84c5d6e41a&oe=60CFDB58,https://web.facebook.com/groups/253454263174740/,REFRIGERATOR SALES AND REPAIRS,Public group  · 500 membersWe fix any typ of fridge and sale good type of fridges 10 posts a week|Public group  · 500 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/131326050_1580499358803275_5735012567482821380_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeF56H9YKHChlN8UsfMPwRAdWSuZNBU2cFJZK5k0FTZwUsZCu5LirwHWsXiNd8w0z2YsoUTTR2hufiEdy8k2uKg8&_nc_ohc=F1jufPbVh3sAX9DzQ_G&_nc_oc=AQnt-fCyvn5_F2Y3-pcLlUZuh1duO5ufiIgF3F44TTtLZY3MtpbdFTY5drmM5IHBlcg&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=1fe65b85b629f5d3530d364e68d229c3&oe=60D03477,https://web.facebook.com/groups/220344629592172/,INDIAN REFRIGERATION & AIR CONDITIONING GROUP,"Public group  · 65K membersDISCUSSION ABOUT REFRIGERATION AND AIR CONDITIONING, HVAC,SPARE PARTS,FAULTS ETC.30 posts a day|Public group  · 65K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c21.0.64.64a/p64x64/181942125_1006783503462214_7724886698524411538_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFFyvP0hlGyqY8n94mWD9YrT87y3K9CsVJPzvLcr0KxUkldDAzSEm4OWjhX255atJKy36GhBg7_c09PNXriaeKC&_nc_ohc=q7MyuoVv5fkAX-YBMrX&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=abfeffcb34333f2cef39040bc3839cfa&oe=60D114B1,https://web.facebook.com/groups/602071130396907/,Bahira Town Lahore Door-step repair & service Refrigerator  air conditioner,Public group  · 218 members7 posts a week|Public group  · 218 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.26.64.64a/p64x64/167565708_948918325857875_1456761311411092902_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFQxHKEKolFOVqTNWUt2u18yf2SOKp6843J_ZI4qnrzjRp6iiELqe1WKqSYzzw75pAOEOYMD_XKCRPTjM4u6TVx&_nc_ohc=jtzDXX7Y6xkAX9QDyHw&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=2606e3b4710a725e14561047a2d7fd84&oe=60D18FCD,https://web.facebook.com/groups/1104634076710681/,refrigerator and aircon home service,Public group  · 81 members6 posts a week|Public group  · 81 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.16.64.64a/p64x64/148145118_774924693446254_1113555452192158708_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEfP0R9-BMcUFL5rCZA5VSNMM1fI1F7kzgwzV8jUXuTODc1h6VwC2LcqPPynaVPIoLImXbNZJGPZ-VIEs_tewE3&_nc_ohc=rqERP6XrIosAX-lETUn&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=2c90d1ed0b3ea076fa61d736bf39f23e&oe=60D082DD,https://web.facebook.com/groups/143913777495226/,m Azam refrigeration used ac sale and perchse,Public group  · 384 membersac repiring fiting sale and perchse4 posts a week|Public group  · 384 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c12.0.64.64a/p64x64/106986895_2272068922939467_9068969723315168403_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGUFC81cNTwGeQR4IybzA7VojNhcnsB5gyiM2FyewHmDPuDtyIKDpEFPSQbJWUFsBS7vqh69AqAYLAplPnR0Wdw&_nc_ohc=6ApFWEMCyfQAX_epFkt&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=18fc6423a9a163b3e3adb38b45e6648d&oe=60D09202,https://web.facebook.com/groups/899492903822717/,Refrigeration and air conditioning/Generator installation technicians.,"Public group  · 5K membersHi friends, This group main aim is to increase knowledge and Job awareness in refrigeration and air conditioning/generator installation fields.so kindly join and add your friends.6 posts a day|Public group  · 5K members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c4.0.64.64a/p64x64/107592809_2955289124588780_7167557836355104633_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeF2HkfxDUy4KJccQnwDIqJpCTcThZWfHJYJNxOFlZ8clkRIZQMu0TwQvXKSEQpgDiQqWxXN0bWMWpxLsJ5s6pSE&_nc_ohc=vuiaLSTrIMsAX8zTwZE&_nc_oc=AQl02GVDeJKPsxWpVRTT0bQZO7eTYdirzjE0HcHyQn5P1e4iTqMZVR97VLRYmigQb2Q&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=4bb35eb525d380050dcc80a03cf7f3e2&oe=60D10C3D,https://web.facebook.com/groups/1811439655664348/,Refrigeration system,Public group  · 41K membersmy group join10 posts a day|Public group  · 41K members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/119786654_1513303168864354_5046671084992556123_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEhifhMKWgB79LQ5CdxWLdN9B5P8_rySmD0Hk_z-vJKYGlE4Tl18MbzDOjb-DqSv09jJd2J8wd-f8YEvMjErPXU&_nc_ohc=GE5qpBX-PvgAX8v0tXN&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=d9a4bf7022f1a8f3b446ada8a432b4c9&oe=60D00F77,https://web.facebook.com/groups/743052386593843/,Air conditioner & Refrigerator,Private group  · 7.7K members10 posts a day|Private group  · 7.7K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.0.64.64a/p64x64/187269205_564141757886450_4756563074010284246_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEc6EJPYx7zroFcplZEoctMJlI7xpazaXcmUjvGlrNpd_C2CRwne-yyoXiQyR5yDZqfxSYPIjeZxlwH4haYEty1&_nc_ohc=s0ORMaU4t7YAX8b1_MG&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=b774b41ad30f84e08a4af60b878c76d7&oe=60CFF7D9,https://web.facebook.com/groups/307787280976453/,DC technician $ refrigerator,Public group  · 15 membersonly working purpose thanks a lot2 posts a week|Public group  · 15 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/171684212_1895757733916188_9085606574111085638_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFqaWR7QZF4jqK9UlJvIC75XbuPzdvDrMJdu4_N28OswozaLz0ioZapWuRjn2b15ZoZ_l2TIHF28qxSVAQvdyOl&_nc_ohc=VQ5eXOttJYAAX9rxAhJ&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=a5cdfe79ba62bacb98ffe9bd230af92b&oe=60D04AA6,https://web.facebook.com/groups/1400138966987007/,GAS REFRIGERATION  USERS,Private group  · 1.6K members7 posts a week|Private group  · 1.6K members
