img_link,page_url,page_title,aduiance
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c34.0.64.64a/p64x64/186284226_4088561534520202_7314932980184632279_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEfGgLFEpSHEwLfiR-uR0K4cwzVlqhucuxzDNWWqG5y7PPPqk0Uc01NeTQAEaKcHhRiVN5f0lD9JkNPwtOepaUZ&_nc_ohc=yJKYqJ8xmkcAX9bmsFS&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=46786d0f1c4dc67f0630a8d4d2039354&oe=60CFEDBE,https://web.facebook.com/groups/3995779927173962/,"Power Solutions | UPS/Inverter, AVR/Voltage Stabilizers & Batteries.","Public group  · 102 membersHAVE POWER PROBLEMS?
We provide comprehensive AC/DC Power Solutions and Professional Services.
ZS Power Solutions! Represent world renowned brands like APC by Schneider Electric, Liebert by Vertiv/Emerson Network Power, Eaton/Powerware, GE (General Electric), Riello, ABB, Ortea, Daxten Power, Deutsche Power, Titan, Inforise, Onixs, CSB, Yuasa, Leoch, Lido, Long & Vision etc. And we provide comprehensive AC & DC Power Solutions and Professional Services with the fully technical supports to Corporate, Industrial, Telecom, Commercial & Domestic environments in all over the Pakistan since last two decades.
Products/Services:
✓ Un-interruptible Power Supply (UPS) / Inverter.
✓ SLA/VRLA Battery.
✓ Automatic Voltage Regulator (AVR).
✓ Servo Motor Control AC Voltage Stabilizer.
✓ Digital/Static Voltage Stabilizer.
✓ Transformer.
✓ Power Line Conditioner.
✓ Electrical Installation Services.
• Sales • Services • Spare Parts • Installations • Testing • Project Commissioning
We have our own workshop and qualified technical staff. And we provide annually Service Level Agreement/Service Maintenance Contract (including or excluding spare parts) and on call basis Repairing/Overhauling/Calibration/Service/Maintenance facilities with the recommended genuine spare parts (as per manufacturer) under the supervision of our highly qualified, trained & experienced technical team. We have supplied thousand of the said products and providing professional services to Government/Semi-Government/Defense/Private Sectors, Financial Institutes, Educational Institutes, Hospitals, Pharmaceuticals, Laboratories, Chemical Industries, Food Industries, Textile Industries & Automobile Industries etc.
ZS Power Solutions  |  Karachi • Lahore • Islamabad
What We Have Achieved In 2021!
Click on this link: https://www.facebook.com/100912691962320/posts/145038567549732/
Enquire Now on WhatsApp Business:
https://wa.me/message/6WDQOEGHNWMHK1
Or Call Now:
+92 300 3454266
+92 321 3454266
Or Email Now:
info@zspowersolutions.com,
zspowersolutions@gmail.com
Or Visit Now:
https://g.page/zs-power-solutions/
https://zspowersolutions.business.site/
https://www.zspowersolutions.com/
https://www.instagram.com/zspowersolutionsofficial/
https://www.facebook.com/zspowersolutionsofficial/3 posts a week|Public group  · 102 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c0.7.64.64a/p64x64/133069482_848807282549800_9161717931742079138_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGMEqkKhXqFUedLLkbxdf0RW2PDcVVQ7WRbY8NxVVDtZN56nkJfn6eIWy_J_wli4qOexBDjbBtmsCgvBcbGxpHd&_nc_ohc=6WXGaiyoWBgAX-YaN_B&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=5c5d8e5db6c20fbb4030bfe65cb60275&oe=60D129AE,https://web.facebook.com/groups/444535019871114/,servo voltage stabilizer .transformer,"Public group  · 1.1K membersmarthon power equipment 
4 posts a day|Public group  · 1.1K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.18169-0/cp0/c25.0.64.64a/p64x64/11904690_1682668978629260_1528648809853002594_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFh1AB8JiooFZYZ_opMay2oubBuaAmqK6S5sG5oCaorpOckXAOIHxtFun4ns52JOzoDhg6SDQ0FKuSsc-Ps-syq&_nc_ohc=Zqzx6rMo9s8AX9beMPP&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=24b88562f08c7d3d4ebc85f543298462&oe=60D04CF5,https://web.facebook.com/groups/809820799115987/,CƠ ĐIỆN TỬ ỔN ÁP AUTOMATIC VOLTAGE STABILIZER,Public group  · 464 members5 posts a week|Public group  · 464 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.5.64.64a/p64x64/132041569_112349777745848_7289408314686127304_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFOCVnwG__UV8th8wjF2NFl6UxTmR51MTrpTFOZHnUxOkeeRyxwe4QD3qm4vp-Dqf7YdMGjGyLVg8oXHqud1wRe&_nc_ohc=-PiRHRIn0N8AX8HBZbq&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=01a2273e43ea55e868b3d453bdb4058e&oe=60D09909,https://web.facebook.com/groups/489681572264743/,LiOA Automatic Voltage Stabilizer (LiOA AVS),"Public group  · 3 membersLiOA Automatic Voltage Stabilizer
(LiOA AVS)5 posts a year|Public group  · 3 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.18169-0/cp0/c44.0.64.64a/p64x64/12524328_547929238718809_4457679582599701513_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHngRb5lPlIhTRZUmy9OKdDcu04A9rJzAty7TgD2snMCzYXy5w0Un0rOzzMtoQFj51MXgMlYegZS7nWF7raN6ud&_nc_ohc=2QJdHjuwRBMAX-FdOsn&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=2134ece5d7696e53f6d6d9452a580b58&oe=60D16950,https://web.facebook.com/groups/573749422801808/,Friends Who Like Cosmostat Servo Voltage Stabilizer & Isolation Transformer,Public group  · 89 members2 posts a month|Public group  · 89 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c9.0.64.64a/p64x64/38301101_117949542472088_7910670580536311808_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeF5PSoYthvJDa52KBu_jMaAsOHb_55eyZGw4dv_nl7JkT_Vw5xvTabCAZy6Xj3OsZyYSQyXeA3KwppsYcxp8U9R&_nc_ohc=1AFuaTQsk4UAX9BMpn7&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=c4c6f957edcf58cba35814d839ca3241&oe=60D0813E,https://web.facebook.com/groups/2122051694708412/,Servo voltage stabilizer,"Private group  · 2 membersPower Bank India was established in 1999. Power Bank India, is a manufacturer of Voltage Stabilizers, Automatic Voltage Stabilizers, Air Cooled Servo Voltage Stabilizer, Isolation Transformers, Auto Variable Transformer, Power Transformers and Electronic Control Panels.
WEBSITE :- http://www.digitalservostabilizers.com|Private group  · 2 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/p64x64/119672648_2805042959785014_1268873546815092522_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHm2HR2ORJt4eafVmTueewxkdHDpSXawjWR0cOlJdrCNQXEzovbQrgnaZg46zjvBvDGq6p77UfdNvImLQplQENx&_nc_ohc=Qh0vV5W9U-wAX8uveFi&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=ef4fc2008acab01b5db9a0281ba4b658&oe=60D1075B,https://web.facebook.com/groups/2803397686615958/,Volset - Servo Voltage Stabilizer,Private group  · 47 members|Private group  · 47 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c54.0.64.64a/p64x64/143257747_3774535155946352_3113587668927842975_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGj2S7MNYPgc0mNqhXPmjHCUZzwyfy1vG9RnPDJ_LW8b8DfRbGs9biY73ykSHpSCt8Pwr8cEgp58pp3DpiF818O&_nc_ohc=QpRIj_eB2j4AX9IOBlU&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=800c53ca4c15fc5132fbd233d77f1c23&oe=60D1592F,https://web.facebook.com/groups/224700212605510/,Servo Voltage Stabilizers,Public group  · 77 members2 posts a month|Public group  · 77 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/136368536373247/,XCS3 Hurricane Electronic Voltage Stabilizer,"Public group  · 7 membersAll about XCS3 Hurricane
Tempat sharing buat yang udah pake atau yang mau cari info-info XCS3
Reseller welcome !!|Public group  · 7 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.30497-1/cp0/p60x60/116687302_959241714549285_318408173653384421_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGEz7421Id3wm48GQHTE5A3U2VttAho9CNTZW20CGj0IzzgtQoYk9eg0fOiab25BlhI88RAuxuT-HEr76A5JMB4&_nc_ohc=GRaiw5YYRngAX_S8dBL&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=1e2cb6c5a742f5f3f244582e337d21e9&oe=60D04251,https://web.facebook.com/groups/823094821604158/,Automatic Voltage Stabilizer OEM,Public group  · 2 members1 post a year|Public group  · 2 members
