img_link,page_url,page_title,aduiance
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c96.0.64.64a/p64x64/83087097_1079014482479788_4196059838465179648_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGR6R7r_5vr5Zw8YQdH9gcoEqmvfFeuCA4Sqa98V64IDvQ_SSh2D42cpTIQ3cbAY_9C8EjpWNYMO3NhfngACwHA&_nc_ohc=Q2TIYW1Bp_sAX9hUv-h&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=8362f6eb2c235a7e56d3b91231b567c0&oe=60D15987,https://web.facebook.com/groups/340400623594448/,Robot vacuum cleaner,"Public group  · 437 membersWelcome Home use Robot vacuum cleaner manufacturers, distributors and end users....4 posts a week|Public group  · 437 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c18.0.64.64a/p64x64/179839203_10159294900209875_3768721582659258665_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeF4YJ-4cNGFbQ0SLTs59ExQKjfyiFux7GwqN_KIW7HsbMI0ZiUfvYjp9tKkBiaPr3cpC8oydPimNMaLMm2Q1-J4&_nc_ohc=Ns1QgrUDBW0AX-5gyGl&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=5e33a0369382c63a3ea0ddd509249471&oe=60D09670,https://web.facebook.com/groups/396748901614549/,Dreame Tech vacuum cleaners owners,"Private group  · 536 membersThis group is for owners of Dreame-Technology devices
www.dreame-technology.com2 posts a week|Private group  · 536 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c25.0.64.64a/p64x64/193339309_10225891022766103_1057118468679839963_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeENVHrP6k-MYRWdH8MKcGrg2Ijm7J2BkP_YiObsnYGQ_74spU8GPTYzhD3ujtIPsFDLxvab1U7mxZkRSrN6uJUW&_nc_ohc=FjXixCpje50AX9BkL3n&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=93a3f9d25fb2841e106ae70038174f84&oe=60D0F3A3,https://web.facebook.com/groups/4061806597237083/,Robot Vacuum Cleaner: Roborock / Xiaomi / Roidmi / Viomi,Private group  · 32 membersGroup dedicated to robot vacuum cleaner users for advice and mutual aid.2 posts a week|Private group  · 32 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c21.0.64.64a/p64x64/160997242_2821438708122568_1294530340165617093_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGp5wgT1cPTLNL8Jl460Q5CqnnnqvVufWCqeeeq9W59YEqmQTy51-Jmgdw7n6s5uY_8Qp-O4UhW0qyk9dvbFVdV&_nc_ohc=rtxo3uRL7uQAX_OxxuW&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=909db64435dee4d5be77eadaaf1f3dd8&oe=60D0D2DA,https://web.facebook.com/groups/2211485832329282/,FUJIHAMA  vacuum cleaner  JD variety online shop,Public group  · 32 membersvacuum cleaner 3in1 blower dry and wet 10 posts a year|Public group  · 32 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c29.0.64.64a/p64x64/167672997_274309620947845_505864098079242681_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGW4XUhCxL2MsbOqWn-6IVWbPaqJiXD7hts9qomJcPuG9n0_VRkZHb1qgw7VrL2sAeEhyc24PXghINhhTRA7-xL&_nc_ohc=YlW9Tf5X6UoAX8QwUdh&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=060fec454fe4a5e46bc4467b991a13bc&oe=60D05F67,https://web.facebook.com/groups/428498194889679/,360 Robot Vacuum Cleaner S10,"Private group  · 750 membersWe are live now on the Indiegogo! Here is the purchase link:https://www.indiegogo.com/projects/360-robot-vacuum-cleaner-s10?utm_source=Facebook&utm_medium=Group1&utm_campaign=S10
Dear customer:
This group is for the global launch of 360 Robot Vacuum Cleaner S10, and only allows discussion of 360 Robot Vacuum Cleaner S10. All unrelated information or advertisement of other products will be removed and muted. Any posts or comments that entice members to purchase other products will be prohibited. For the first violation, the member will be warned and muted for 7 days. For the second violation, the member will be removed from the group by the administrator without further notice.3 posts a week|Private group  · 750 members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c25.0.64.64a/p64x64/24068037_10214880191744170_4633860346357515206_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHidbWiLKHKYmessfsmff6TN2qtT_L9A4A3aq1P8v0DgPpCltC3KX1KYt7lJDRclaKtEh27oK8nCpRAkMA-jPfe&_nc_ohc=phIcgTLy7vsAX81yuHu&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=2652e2d8b76c78369566bd259dada045&oe=60CFE9FF,https://web.facebook.com/groups/169615080295298/,Robotic Vacuum Cleaners,Public group  · 522 members3 posts a month|Public group  · 522 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c70.0.64.64a/p64x64/135106502_2826498414288634_7143561305509548450_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEUX9SfoGxhSRSt6u2N1qX1oKIkt9vj17agoiS32-PXtjSY1HWlAlhmIv76RjBmw-pUXa1M27a3Pfsvn_ZQMZCQ&_nc_ohc=NTHh2DRxyMoAX9j1ERW&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=ff204259e23a14b32fd22ab91dea4e1e&oe=60D17F8C,https://web.facebook.com/groups/224973241332239/,Rainbow Vacuum Cleaner Helps & Supports & Cares,Private group  · 1.6K membersThis Rainbow vacuum group is here to ask each others questions and helps by giving each others tips and ideas and services that we don't know about the Rainbow vacuum cleaner. That's why is why the group is call Helps cares and supports meaning telling ideas and giving each others the true answers about these true home cleaning system of the Rainbow vacuum cleaner forever in life. So yep feel free to ask and post anything about your Rainbow vacuum cleaner here if you want your question to be answer by everyone's in the group.7 posts a week|Private group  · 1.6K members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.18169-0/cp0/c20.0.64.64a/p64x64/21687870_10155464394700090_5216968952768830653_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGaYs26p_OgqaEhKf8mleG82B_zxDe0eMzYH_PEN7R4zOFyb8ZUdncqzcSwTNJUIQvrfHPVBcBglRAAM8GUB_an&_nc_ohc=XdSmAEIUdDQAX_LaYn_&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=4659f6dc31f22b349e6018b5472c7da1&oe=60D18FAB,https://web.facebook.com/groups/287108675132602/,Dyson vacuum cleaner owners,"Private group  · 7.7K membersA group for owners of any of the dyson vacuum cleaner range to give advice, share experiences and offer and receive technical help plus lots more.3 posts a day|Private group  · 7.7K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c4.0.64.64a/p64x64/93660010_3012002858857303_492711505666506752_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeH-XMLLUBX7-PBz0C1L7EulLCanVF1R6kwsJqdUXVHqTOmrOlCVqQpR6YblGV8RbSFx6mN2nwbYPW6RsiKgaOyN&_nc_ohc=-4YTDywUp8YAX8KfZpM&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=e659f6228b316e6d265c9049f711d16a&oe=60D03D56,https://web.facebook.com/groups/628478464368075/,"Nilfisk Pressure Washers, Vacuum Cleaners & repairs",Private group  · 1K membersAnything Nilfisk related. Help and advice with repairs. A place to show Nilfisk pressure washers videos 4 posts a week|Private group  · 1K members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c25.0.64.64a/p64x64/94624936_220127082772001_4377417456763797504_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEhKnlbCtCZ073ASeOrp72af4A1sNXcdbB_gDWw1dx1sGHQtUGSGk1PmOZ8BtwXfixqpUfzNvflugvjUHnDkI6i&_nc_ohc=VvDhcNTkbbgAX_F54HX&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=01f1bb51282896575952ec6e490bc080&oe=60D1AF36,https://web.facebook.com/groups/577121559576081/,Roborock S5 max/S6  Roborock Vacuum Cleaner Fans,Private group  · 9.5K members2 posts a day|Private group  · 9.5K members
