img_link,page_url,page_title,aduiance
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c14.0.64.64a/p64x64/78331677_2225793674189343_4336173830713114624_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEHKgkpW9N1IBuWbqKGYLvUpe2fe4lGLjyl7Z97iUYuPCWJzk20TZIUqybvS_DRHzfCyKvZp9SFr6YzyKQ-5tgW&_nc_ohc=bzKk5mB7pXoAX8NEyTv&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=ccd040aa64bc4467c48954868facb4e6&oe=60D14C15,https://web.facebook.com/groups/435655327370286/,> Water Dispenser,Public group  · 2.9K members7 posts a week|Public group  · 2.9K members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/s64x64/95360270_616983078886673_4936643536100524032_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeGPULx1gJzZA5D6DeU3SYuleU31RPQRS495TfVE9BFLjzZkMYNGzsYPBQxv-87y2e3x-RmK0a0GDJjLNd6dCcKM&_nc_ohc=o35Pz6RCHdcAX9coCHc&_nc_ht=scontent.flhe2-1.fna&tp=28&oh=87b7a354c03ec49d4a5a823db74a1ce7&oe=60D0AE56,https://web.facebook.com/groups/2524843134409331/,Dispenser Group,"Public group  · 609 members𝕎𝕖𝕝𝕔𝕠𝕞𝕖 𝔸𝕝𝕝 𝕄𝕖𝕞𝕓𝕖𝕣𝕤!
𝕆𝕟𝕝𝕪 𝔻𝕚𝕤𝕡𝕖𝕟𝕤𝕖𝕣 𝕊𝕥𝕦𝕕𝕖𝕟𝕥𝕤 𝕒𝕟𝕕 ℍ𝕖𝕒𝕝𝕥𝕙 𝕡𝕣𝕠𝕗𝕖𝕤𝕤𝕚𝕠𝕟𝕒𝕝 𝕔𝕒𝕟 𝕁𝕠𝕚𝕟 𝕥𝕙𝕚𝕤 𝔾𝕣𝕠𝕦𝕡.
𝔾𝕣𝕠𝕦𝕡 𝕚𝕤 ℂ𝕣𝕖𝕒𝕥𝕖𝕕 𝕗𝕠𝕣 𝕆𝕟𝕝𝕪 𝔻𝕚𝕤𝕡𝕖𝕟𝕤𝕖𝕣𝕤 𝕊𝕠 𝕐𝕠𝕦 𝕔𝕒𝕟 𝕡𝕠𝕤𝕥 𝕙𝕖𝕣𝕖 𝕒𝕝𝕝 𝕒𝕓𝕠𝕦𝕥 𝔻𝕚𝕤𝕡𝕖𝕟𝕤𝕖𝕣𝕤.
𝔸𝕟𝕪 𝕆𝕥𝕙𝕖𝕣 𝕄𝕒𝕥𝕖𝕣𝕚𝕒𝕝 𝕚𝕤 𝕟𝕠𝕥 𝕒𝕝𝕝𝕠𝕨𝕖𝕕 𝕥𝕠 𝕡𝕠𝕤𝕥 𝕙𝕖𝕣𝕖.
𝔸𝕟𝕪 𝕝𝕚𝕟𝕜𝕖𝕕 𝕡𝕠𝕤𝕥 𝕚𝕤 𝕟𝕠𝕥 𝔸𝕝𝕝𝕠𝕨𝕖𝕕 𝕙𝕖𝕣𝕖.
𝕋𝕙𝕒𝕥'𝕤 𝕨𝕙𝕪 𝕪𝕠𝕦𝕣 ℙ𝕠𝕤𝕥𝕤 𝕠𝕗 ℙ𝕙𝕒𝕣𝕞𝕒𝕔𝕪 𝕠𝕣 𝕆𝕥𝕙𝕖𝕣 ℙ𝕠𝕤𝕥 𝕨𝕙𝕚𝕔𝕙 𝕙𝕒𝕤 𝕒𝕟𝕪 𝕝𝕚𝕟𝕜 𝕚𝕤 𝕟𝕠𝕥 𝕒𝕡𝕡𝕣𝕠𝕧𝕖𝕕.
𝔽𝕠𝕝𝕝𝕠𝕨 𝕣𝕦𝕝𝕖𝕤 𝔸𝕟𝕕 ℂ𝕠𝕞𝕞𝕖𝕟𝕥 𝕙𝕖𝕣𝕖 𝕗𝕠𝕣 𝕒𝕟𝕪 𝕆𝕡𝕚𝕟𝕚𝕠𝕟.
𝕋𝕙𝕒𝕟𝕜𝕤 𝔸𝕝𝕝 𝔸𝕔𝕥𝕚𝕧𝕖 𝕄𝕖𝕞𝕓𝕖𝕣𝕤 𝕗𝕠𝕣 ℙ𝕒𝕣𝕥𝕚𝕔𝕚𝕡𝕒𝕥𝕚𝕟𝕘 �.
𝕂𝕚𝕟𝕕𝕝𝕪 𝔽𝕠𝕝𝕝𝕠𝕨 𝕣𝕦𝕝𝕖𝕤 𝔸𝕟𝕕 ℂ𝕠𝕞𝕞𝕖𝕟𝕥 𝕙𝕖𝕣𝕖 𝕗𝕠𝕣 𝕒𝕟𝕪 𝕆𝕡𝕚𝕟𝕚𝕠𝕟.
𝕋𝕙𝕒𝕟𝕜𝕤 𝔸𝕝𝕝 𝔸𝕔𝕥𝕚𝕧𝕖 𝕄𝕖𝕞𝕓𝕖𝕣𝕤 𝕗𝕠𝕣 ℙ𝕒𝕣𝕥𝕚𝕔𝕚𝕡𝕒𝕥𝕚𝕟𝕘 �.6 posts a month|Public group  · 609 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c11.0.64.64a/p64x64/117304472_2794841503951221_3717371750886871154_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEd3_IO6PONNwW8dYPf7rDDgFuiP5FqPWGAW6I_kWo9YZtiaMXo2JsG8sBLzdUObi5SU57yHitEmJQgKEELoXfJ&_nc_ohc=cFY3vjKJIPkAX-unQ9K&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=55b9aa55e8f9bd98247149a254689303&oe=60D0E66D,https://web.facebook.com/groups/2695329343864388/,> Beverage Dispenser,Public group  · 94 members8 posts a week|Public group  · 94 members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c7.0.64.64a/p64x64/154046775_2947034435530672_5959286870290389249_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeFmnNm6VsSOIHmVeyayvSiJCjnfaPZFTYAKOd9o9kVNgNfUwHLpP9pZgLNTemKfwOqUojAEFPvxcUm7BIbsKCTy&_nc_ohc=xeg4wD2li_4AX8zqzZ0&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=9fd62f838291eaf60faccf769e6e390b&oe=60D054C3,https://web.facebook.com/groups/248522476300575/,water filter sales group,Public group  · 5.2K members20 posts a day|Public group  · 5.2K members
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c16.0.64.64a/p64x64/65056214_2347503345538186_3711472048690692096_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHkibyqnHDwUT1cuyvubEY8t8YGspwVSha3xgaynBVKFrAuSzOY5uzuTxRU0cSIajKa4U16wO23gkqIr_Vgt6vL&_nc_ohc=j6-0NOcG2QcAX__iigX&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=34fadfcd345e4a0e56ab5e35c7b51629&oe=60D17110,https://web.facebook.com/groups/385446218760478/,Water Purifier,"Private group  · 11K membersOur various types of Reverse Osmosis Drinking Water Systems...
Price is negotiable !!
Free installation !
Helpline: 017178435202 posts a week|Private group  · 11K members"
https://scontent.flhe2-2.fna.fbcdn.net/v/t1.6435-0/cp0/c38.0.64.64a/p64x64/104684784_3250153871714042_925647596053402964_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHEgy6y242Kzfj9fHRu9PR3F2AhNr3IB2YXYCE2vcgHZs5JPI-mc9yF1sY4CJcWLUu3mLTlxHGnSr4YImg3PGz9&_nc_ohc=N9htnby-iWwAX_04NwU&tn=FGCUm-Y2EbdIMPs3&_nc_ht=scontent.flhe2-2.fna&tp=27&oh=33d42939410b923b580f6c86f7907280&oe=60D0A200,https://web.facebook.com/groups/3075804629178232/,WATER STATION BENTAHAN (2ND HAND ONLY),"Public group  · 2.4K membersBentahan ng mga lumang setup ng WRS. 
Bawal ang brand new at mahal na setup o pyesa. 
Only 2nd hand machines will be accepted. 
To all INSTALLERS and TECHNICIANS, Please No offering of services and equipments, bentahan po ito ng 2nd hand machines and parts, hayaan natin sila magbentahan...10 posts a week|Public group  · 2.4K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.3.64.64a/p64x64/90669636_10222154778481415_963317123898146816_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEkq_9GQDDGzElKBum9SMP1xcUMa7aB8QfFxQxrtoHxB56Smca9Sk-iZSLQ5WIu5UFbFoR5MYYJHdbbq4QP-xlt&_nc_ohc=WoqdmvMvU5QAX-RujjU&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=6687a438aefbdd0284749e269af2a166&oe=60D070B4,https://web.facebook.com/groups/290064495292812/,The Water Cooler,"Public group  · 1.2K membersIn the age of Social Distancing, we need a place to gather and laugh together without the worry of having hand sanitizer and a face mask at the ready. Since most are already working from home, we figured that a virtual water cooler was needed for those of us used to engaging in chit chat, gossip/chisme on a daily basis. We only have a few rules:
1. No Politics. No Religion. Nothing inappropriate. Don't be rude. Basically, if you wouldn't say it at work, don't say it here.
2. Keep the posts humorous. The funnier and wittier the better.
3. Make every attempt to share only funny memes, gifs and stories. No debbie downers or telling us what you ate for lunch or that your dog died. We don't care for that at work and we shouldn't put up with it here.
So, if you're in the group and you need a break from the chaos of working from home....post away!!! P.S. Invite your friends and family! The more the merrier!!!
~ Avanti Cares2 posts a day|Public group  · 1.2K members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c5.0.64.64a/p64x64/193664068_1436751470019415_5148175224796421603_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEFQIdFBXyJFBC-rfVMAHxYlV9HEYdB7PKVX0cRh0Hs8rrBF7EGdEb3YPVKN4L3QpYtqGMLJedvgpHhq6sgSfAb&_nc_ohc=nJp-IUqxMc4AX_wpwsl&_nc_oc=AQkHxRVDH0aeqRL1JVYMD0312SPMvivDOuAWeJa9_kpNrT5KoxJIUTyr1Ts-W2LjKmc&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=46bd7746852b01f0a6307be7e8d3550f&oe=60D0B598,https://web.facebook.com/groups/494777764924201/,water dispenser supply,"Public group  · 2 memberssila pm dulu .
harga & kawasan kami akan bagitw4 posts a year|Public group  · 2 members"
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c25.0.64.64a/p64x64/191698939_1662123250652320_6699704693555568699_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeHBxeA6_lLIvBaG1CNomTvZyK_t6XMlIqfIr-3pcyUip9yfvuo77DIOZ155BvUojxnuI__SV7pa0xE2kj1N8l_j&_nc_ohc=LOmDzfgmmYMAX-LEXBN&_nc_oc=AQn7G3knuq_kov3_txcaDTCUcgWr83kNklIKJ8bBizqbs3SOJyD7oWenabZEd2reKa0&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=5b0df47bf96966bd0086f58af111cb72&oe=60D031AF,https://web.facebook.com/groups/waterdispensermalaysia/,Water Dispenser Malaysia | 水机马来西亚,Public group  · 3 members3 posts a year|Public group  · 3 members
https://scontent.flhe2-1.fna.fbcdn.net/v/t1.6435-0/cp0/c0.4.64.64a/p64x64/129631099_3133623313406370_3117969103449076742_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=70495d&_nc_eui2=AeEP7_isNBZOBTmP5vdxItekW47VxUdqjBBbjtXFR2qMEGK9w5MZH_iKGBZTch0IGmfoz0483DGuDDTXzIr24BER&_nc_ohc=D6bHvGF-thYAX9m-1my&_nc_ht=scontent.flhe2-1.fna&tp=27&oh=f46fce59744a682a3c982a512a4a8a05&oe=60D0F915,https://web.facebook.com/groups/727836498046737/,SG : WATER DISPENSER,Public group  · 7 members3 posts a year|Public group  · 7 members
