Product_category,Description,Price,Image
Toaster,Haier HTA-01302 Toaster (Official Warranty),"3,399",https://cdn.homeshopping.pk/product_images/r/835/22b50d64bbe849b6c3e27f9683bfc666__51884_thumb.jpg
Toaster,Haier HTA-1305 Toaster (Official Warranty),"3,670",https://cdn.homeshopping.pk/product_images/c/451/303551c6617f5ec4f176db55c74fd96e__73687_thumb.jpg
Toaster,Westpoint (WF-2583) 2 Slice Toaster,"3,399",https://cdn.homeshopping.pk/product_images/l/816/westpoint_2_slice_toaster_wf-2583__1__90727_thumb.jpg
Toaster,Black & Decker ET304 4-Slice Toaster Steel Body,"8,599",https://cdn.homeshopping.pk/product_images/d/327/index__75149_thumb.jpg
Toaster,Gaba National GNO-1528 Oven Toaster 28Ltr,"11,670",https://cdn.homeshopping.pk/product_images/o/986/oven_toaster_1528__15355_thumb.jpg
Toaster,E-lite Eto-12L Oven Toaster 12 Liter,"6,799",https://cdn.homeshopping.pk/product_images/n/446/OVEN-TOASTER-ETO-12L__98726_thumb.jpg
Toaster,Philips HD2582/00 2 Slice Popup Toaster Daily Collection,"6,099",https://cdn.homeshopping.pk/product_images/s/578/51JBzLQxczL._SL1022___98479_thumb.jpg
Toaster,Philips HD2582/90 2 Slice Popup Toaster Daily Collection,"6,099",https://cdn.homeshopping.pk/product_images/d/987/HD2582_90-A2P-global-001__61252_thumb.jpg
Toaster,Anex AG-3001 Toaster,"3,100",https://cdn.homeshopping.pk/product_images/p/852/anex-2-slice-toaster-_ag-3001__1__68454_thumb.jpg
Toaster,WESTPOINT 4 SLICE TOASTER WF-2528,"4,399",https://cdn.homeshopping.pk/product_images/y/870/Capture__70334_thumb.JPG
Toaster,Anex AG-3017 Slice Toaster,"3,199",https://cdn.homeshopping.pk/product_images/j/630/anex-2-slice-toaster-_ag-3017__1__78573_thumb.jpg
Toaster,Anex 4 Slice Toaster 3020,"3,999",https://cdn.homeshopping.pk/product_images/f/ag-3020-310x310__70899_thumb.png
Toaster,WestPoint Toaster WF-2532,"4,049",https://cdn.homeshopping.pk/product_images/i/359/wf-2532__72030_thumb.jpg
Toaster,Anex AG-3002 Toaster,"3,100",https://cdn.homeshopping.pk/product_images/z/731/anex-deluxe-2-slice-toaster-_ag-3002__1_1_1__76154_thumb.jpg
Toaster,Anex AG-3019 2 Slice Toaster,"3,199",https://cdn.homeshopping.pk/product_images/b/458/anex-2-slice-toaster-_ag-3019___00594_thumb.jpg
Toaster,WestPoint Toaster WF-2538,"3,399",https://cdn.homeshopping.pk/product_images/v/779/381-wf-2538__54679_thumb.jpg
Toaster,Kenwood TTM-450 Toaster,"5,849",https://cdn.homeshopping.pk/product_images/r/995/Scene-TTM450-1__27589_thumb.jpg
Toaster,Black & Decker ET124 4 Slice Toaster,"6,299",https://cdn.homeshopping.pk/product_images/o/162/61vLMeA%252BOfL._SL1500___65270_thumb.jpg
Toaster,Gaba National GNO1523 Rotisserie Oven Toaster 23 Ltr with official warranty (White Friday Deal),"10,050",https://cdn.homeshopping.pk/product_images/u/446/gaba_national_rotisserie_oven_toaster_23_ltr_gno-1523__1__34198_thumb.jpg
Toaster,Kenwood TTP-220 Toaster,"5,800",https://cdn.homeshopping.pk/product_images/l/472/Toasters-TTP220-800x600-1__73218_thumb.jpg
Toaster,Anex GL 3019 2 Slice Toaster,"3,277",https://cdn.homeshopping.pk/product_images/h/472/untitled-1.0__59923_thumb.png
Toaster,WestPoint Toaster WF-2550,"3,399",https://cdn.homeshopping.pk/product_images/g/744/348-slice-toaster-wf-2550-copy-310x310__00665_thumb.jpg
Toaster,Sencor STS 33OR Toaster,"5,448",https://cdn.homeshopping.pk/product_images/j/505/index__15335_thumb.jpg
Toaster,Anex 2 Slice Toaster 3018,"3,199",https://cdn.homeshopping.pk/product_images/u/AG-3018-310x310__15546_thumb.png
Toaster,Anex 1035 Sandwich Maker White/Black,"2,779",https://cdn.homeshopping.pk/product_images/o/859/AG-1035-580x435__40283_thumb.jpg
Toaster,"Westpoint (WF-2561) 2 Slice Toaster, Cool Touch & Plastic Body","3,399",https://cdn.homeshopping.pk/product_images/n/975/1__24720_thumb.jpg
Toaster,Anex 2 Slice Toaster 3018,"3,199",https://cdn.homeshopping.pk/product_images/u/AG-3018-310x310__15546_thumb.png
Toaster,Kenwood TTP-200 Toaster,"5,635",https://cdn.homeshopping.pk/product_images/y/584/kenwood_toaster_ttp-200_1__22583_thumb.jpg
Toaster,Philips HD4825/92 Metal Compact Toaster Daily Collection,"6,799",https://cdn.homeshopping.pk/product_images/a/244/HD4825_92-RTP-global-001__82618_thumb.jpg
Toaster,Anex 3001 Toaster (2 Colors),"3,258",https://cdn.homeshopping.pk/product_images/f/291/anex-6331-4233645-1-zoom__87414_thumb.jpg
Toaster,WestPoint Toaster WF-2540,"3,399",https://cdn.homeshopping.pk/product_images/u/218-slice-toaster-wf-2540-310x310__27836_thumb.gif
Toaster,Sencor STS 31GR Toaster,"5,448",https://cdn.homeshopping.pk/product_images/a/849/index__79260_thumb.jpg
Toaster,WestPoint Toaster WF-2553,"3,399",https://cdn.homeshopping.pk/product_images/h/220-slice-toaster-wf-2553-310x310__45007_thumb.gif
Toaster,Westpoint WF-2589 2 Slice Toaster (Maroon),"3,399",https://cdn.homeshopping.pk/product_images/v/531/westpoint_2_slice_pop-up_toaster_wf-2589__1_1__10242_thumb.jpg
Toaster,Jackpot JP-976 2 Slice Toaster Red,"4,650",https://cdn.homeshopping.pk/product_images/x/391/jackpot_2_slice_toaster_red_jp-976__1_1__04055_thumb.jpg
Toaster,Philips HD2637/00 Toaster Viva Collection,"9,599",https://cdn.homeshopping.pk/product_images/p/250/HD2637_00-_FP-global-001__78017_thumb.jpg
Toaster,WestPoint Toaster WF-2542,"3,399",https://cdn.homeshopping.pk/product_images/h/219-slice-toaster-wf-2542-310x310__12726_thumb.gif
Toaster,Anex AG 3011 Slice Toaster Cool Touch,"3,199",https://cdn.homeshopping.pk/product_images/v/AG-3011_%281%29-310x310__51987_thumb.png
Toaster,Philips HD2637/90 Toaster Viva Collection,"9,599",https://cdn.homeshopping.pk/product_images/m/978/HD2637_90-RTP-global-001__96361_thumb.jpg
Toaster,Black & Decker ET222 2 Slice Toaster,"6,299",https://cdn.homeshopping.pk/product_images/d/313/71nnpDTwxFL._SL1500___89120_thumb.jpg
Toaster,Sencor STS 32BL Toaster,"5,448",https://cdn.homeshopping.pk/product_images/z/998/index__34985_thumb.jpg
Toaster,Sencor STS 36YL Toaster,"5,448",https://cdn.homeshopping.pk/product_images/z/789/index__82166_thumb.jpg
